star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name,Exo
HIP 4422,,-0.36,-2.81,-0.41,-0.18,-0.35,-0.14,-0.08,-0.16,-0.21,-0.22,-0.22,-0.38,-0.42,-0.5,-0.24,-0.35,-0.27,14.166271453827205,59.18105702681613,30.431,7.681,52.61,61.26,thin,G8.5IIIbFe-0.5,4.62,0.957,49.2,-25.9,-10.6,4870.3335,2.4691666666666667,nan,10.0332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 4423,,0.25,nan,0.32,0.11,0.32,0.28,0.17,0.24,0.21,0.34,0.18,0.16,0.22,0.21,0.27,0.29,0.28,14.167599495729103,17.959815637885455,57.951,14.629,19.374,62.83,thin,G0,8.36,0.631,-17,-28.1,-3,5867.033,4.343333333333334,1.1,1.22418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44246,,0.04,-0.54,-0.25,nan,-0.42,-0.06,nan,0.03,-1.85,0.32,0.83,1.01,0.85,-0.2,1.23,0.35,1.56,135.15841692975445,-21.21585641228498,-70.701,70.311,-38.707,106.96,N/A,F2III,7.11,0.363,nan,nan,nan,6824.75,3.64,1.485,2.66093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44248,,0.27,-1.02,nan,nan,nan,nan,0.32,0.16,0.22,nan,nan,nan,nan,nan,nan,nan,nan,135.16030590449375,41.78302455908063,-8.497,8.45,10.708,16.07,thin,F4V,3.96,0.463,-45.1,-14.3,-9.2,5095.6333,4.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44262,,0.06,nan,nan,nan,0.18,0.15,0.07,0.1,0.14,0.15,0.16,0.12,0.1,-0.02,0.12,0.13,nan,135.20525141121863,23.780044284955316,-38.567,38.292,23.948,59.39,N/A,K0,8.86,0.714,nan,nan,nan,5754.6665,4.38,1.03,1.06139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44279,,0.33,nan,0.13,0.48,0.27,0.25,0.29,0.3,0.26,nan,0.35,0.36,0.32,nan,0.36,0.37,nan,135.27280094325423,-37.77160897801852,-36.054,35.713,-39.323,64.2,N/A,G8IV,9.01,0.77,nan,nan,nan,5504.5,4.41786,0.96,1.00286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44290,,0.04,1.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135.2975814833017,-26.663715915045614,-68.492,67.784,-48.389,107.83,thin,K1IIICNII,6.2,1.137,34.6,12.2,-12.1,4743.2666,nan,nan,12.7895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44293,,-0.42,nan,nan,-0.31,nan,nan,nan,-0.43,-0.45,nan,-0.48,-0.58,-0.54,nan,nan,-0.49,nan,135.3116472960729,-2.561582214663914,-186.273,184.257,-11.722,262.27,thick,K0III,7.5,1.128,-147.4,-144.9,-88.6,4576.85,2.07,nan,19.3085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44319,,0.16,nan,nan,-0.06,0.03,0.18,0.1,0.11,0.13,0.41,0.08,0.12,0.11,0.1,0.28,0.15,0.06,135.38640383101728,-38.08207616244926,-45.722,45.11,-50.33,81.6,thin,G2/3V,8.5,0.607,-92.3,-8.7,3.4,5900.1333,4.32,1.09,1.33573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44324,,0.02,-0.87,-0.08,-0.06,nan,nan,-0.18,-0.13,0.0,0.08,0.07,-0.09,-0.0,-0.17,-0.24,-0.01,nan,135.40432363275588,49.73682764552301,-20.227,19.943,33.538,43.95,thin,G5,7.93,0.651,-17.9,-25,-8.8,5814.3335,4.4366666666666665,1.03,1.0436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44343,,-0.23,nan,-0.09,0.03,-0.23,-0.13,-0.33,-0.2,-0.19,-0.15,-0.19,-0.3,-0.23,-0.55,-0.2,-0.27,-0.17,135.45411948177318,-26.56351434414785,-37.635,37.044,-26.402,59.04,thin,F7V,7.25,0.498,-112.5,4,2.3,6196.0,4.21,1.15,1.66093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44347,,-0.8,-1.18,-0.29,-0.34,-0.79,-0.42,-0.78,-0.46,-0.58,nan,-0.62,-0.8,nan,-1.41,-0.61,-0.79,nan,135.47897735704652,35.89342553257966,-48.911,48.1,49.646,84.68,thick,F8,9.54,0.508,36.8,-82.4,90.4,5922.0,4.495,1.089,1.19723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44367,,0.17,nan,nan,nan,0.62,0.2,0.28,0.32,0.21,0.39,0.22,0.33,0.21,0.3,0.33,0.22,nan,135.52661930143742,-39.40214250311135,-67.407,66.179,-77.599,122.25,thin,K1IIICNII,6.25,1,-31.8,-13.6,-3.4,4997.0,2.95,nan,10.2068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44416,,0.03,nan,-0.06,0.03,-0.17,0.02,0.0,-0.11,0.03,nan,0.05,0.0,-0.01,-0.06,nan,0.04,0.07,135.71581663905945,52.28582584282379,-56.497,55.102,102.056,129.01,thick,K0,8.08,1,-32.3,-84.8,-36.3,4944.5,3.29,nan,4.22076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44424,,0.2,nan,0.18,0.09,0.06,0.18,0.21,0.15,0.32,nan,0.18,nan,0.05,nan,nan,0.27,nan,135.77553026331876,2.0568590806791156,-58.481,56.919,2.931,81.66,thin,F7V,7.97,0.573,-39.3,-19.8,-15.1,6085.3335,4.06455,1.26,1.72561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44441,,-0.24,-0.72,-0.11,-0.06,-0.22,-0.08,-0.24,-0.13,-0.08,0.05,-0.16,-0.21,-0.14,-0.55,-0.12,-0.21,-0.07,135.81559603664513,32.88143546092516,-30.225,29.377,27.248,50.19,thin,F6V,7.03,0.497,-119.9,-9.3,-27.5,6234.0,4.162,1.21,1.4504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44458,,0.14,nan,0.06,0.05,0.02,0.1,-0.0,0.04,0.18,0.48,0.12,0.12,0.15,-0.03,0.24,0.05,0.29,135.86284886901416,37.84097043109385,-17.292,16.779,18.717,30.51,thin,G0,7.04,0.609,-10.5,-24.3,-7,5809.0,4.433333333333334,1.05,1.05746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44463,,0.16,-1.31,0.23,0.13,0.08,0.19,0.23,0.26,0.09,0.25,0.14,0.24,0.19,-0.03,0.32,0.2,-0.19,135.87497666449792,76.39768036169437,-8.6,8.341,49.511,50.94,thin,G4V,7.86,0.69,-38.5,-29.6,15.7,5738.0,4.23,1.02,1.41902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44464,,-0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135.88446731211403,53.10828262234576,-124.679,120.887,231.366,289.29,thin,G7III:Ba0.5,6.87,0.999,12.5,-17.8,-10.4,4964.0,nan,nan,24.9478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44526,,0.02,nan,0.25,-0.13,-0.07,-0.01,-0.02,-0.01,0.06,0.15,0.1,0.17,0.1,0.0,-0.02,0.0,0.36,136.0862250247951,-15.914250508866123,-19.592,18.863,-7.754,28.28,thin,K3V(k),8.77,0.96,-8.3,-4.2,-12.1,4902.6475,4.53,0.86,0.641508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 4454,,-0.17,nan,nan,-0.11,nan,-0.06,nan,-0.01,nan,nan,-0.25,nan,nan,nan,nan,nan,nan,14.268375403948388,69.04345456328105,8.472,2.154,22.823,24.44,thick,K4V,9.12,1.025,-42.9,-86.3,-30.7,4769.33,4.625,0.68,0.777757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 4457,,-0.19,-1.79,0.17,0.27,-0.02,-0.05,-0.17,0.02,-0.03,0.54,0.06,-0.09,0.08,-0.25,0.31,-0.1,0.3,14.290784301218608,34.864056492070254,60.97,15.531,43.833,76.68,thin,F7V,7.94,0.546,22.2,1.2,16.3,6185.325,4.0200000000000005,1.1,1.73531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44579,,0.12,nan,nan,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,136.23991994233225,11.57248354371534,-45.482,43.555,12.895,64.28,thin,G5,8.6,0.656,7.6,-9.7,3.9,5867.175,4.42582,1.09,1.05886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44586,,-0.37,nan,nan,nan,nan,-0.5,-0.18,-0.16,-0.23,nan,-0.36,nan,nan,nan,nan,-0.34,nan,136.24982067058582,22.832362954733835,-29.64,28.374,17.275,44.52,thin,G2V,7.36,0.613,-26.5,25.1,-11.2,5835.0,4.13,1.04,1.25457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44592,,-0.25,nan,nan,nan,nan,nan,nan,-0.13,nan,nan,nan,nan,nan,nan,nan,-0.24,nan,136.26966521836175,26.16475727954591,nan,nan,nan,459.930430266056,N/A,K2IV,7.64,1.388,nan,nan,nan,4114.0376,1.74,nan,36.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44605,,-2.19,nan,nan,-1.57,nan,-1.73,nan,nan,nan,nan,-1.97,-2.74,nan,-2.37,-1.71,nan,-2.19,136.31951351271894,38.798498565187494,nan,nan,nan,165.955250306855,N/A,F7,11.6,0.527,nan,nan,nan,6211.0,3.8,1.03,0.751241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44610,,0.19,nan,nan,-0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,136.3401434288398,74.69674269697221,-8.907,8.5,44.996,46.65,thin,G0,8.46,0.727,45,-23.9,0.5,5633.0,4.43773,0.99,0.99538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44613,,0.09,nan,-0.22,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,136.3503952481901,48.5303155677322,-46.47,44.329,72.668,96.98,thin,F5II-IIISr,5.48,0.475,-0.4,-8.8,-7.9,6478.0,nan,nan,5.90906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44638,,0.05,nan,nan,nan,0.06,0.07,-0.02,0.03,0.12,0.14,0.15,0.02,0.09,-0.12,-0.01,0.03,nan,136.44113891411777,55.52898984723189,-19.601,18.639,39.399,47.79,thin,G0,7.96,0.624,-51.2,7.7,-18.9,5954.0,4.47,1.07,1.05502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 4464,,-0.09,nan,nan,nan,nan,-0.04,nan,nan,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,14.30432370474492,0.34233364623215334,nan,nan,nan,364.739045879051,N/A,K0III,7.63,1.131,nan,nan,nan,4858.5,nan,nan,18.486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44657,,0.19,-1.32,0.15,0.17,0.19,0.21,0.12,0.15,0.17,0.2,0.13,0.13,0.18,0.15,0.18,0.16,0.23,136.48971875933944,-21.53259479260182,-40.687,38.625,-22.136,60.31,thin,G3V,8.66,0.674,-12.2,-16.7,-10.3,5733.0,4.4475,1.06,0.951624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44668,,0.27,nan,0.28,0.33,0.27,0.25,0.21,0.21,0.21,0.4,0.23,0.23,0.23,0.21,0.3,0.27,0.33,136.5416361359299,-37.152728692013305,-38.282,36.276,-39.963,66.17,thin,G5V,8.59,0.682,5.6,-2.7,-8,5781.0,4.365,1.05,1.27207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 447,,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,nan,-0.29,-0.48,nan,-0.44,-0.02,1.3425299416746648,8.787804267473891,nan,nan,nan,308.567902304796,N/A,G4.V:P,8.26,1.052,nan,nan,nan,4928.6235,2.53,nan,9.73195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44700,,-0.1,-2.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,136.6323660125045,38.45221393578036,-142.013,134.143,155.123,249.45,thin,G5Ib,4.56,1.037,-33,-17.5,-13.1,4904.5,2.0149999999999997,nan,34.2454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44713,,0.12,-2.69,0.14,0.06,0.04,0.15,0.11,0.1,0.11,0.19,0.13,0.03,0.08,-0.02,0.14,0.08,0.04,136.6617958529003,-43.49197754192248,-19.66,18.551,-25.644,37.26,thin,G2V,7.31,0.664,-22.4,-62.5,30.6,5768.75,4.306,1.03,1.24096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44716,,-0.87,nan,nan,nan,-1.19,-0.68,nan,-0.71,-0.73,nan,-0.76,-1.03,-1.12,nan,nan,-1.0,nan,136.67885900261373,20.50986197215564,nan,nan,nan,357.931245112796,N/A,G3III,7.68,0.796,nan,nan,nan,5097.35,2.38,nan,14.6618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44724,,-0.1,nan,nan,-0.02,nan,-0.04,-0.07,nan,-0.02,nan,-0.05,nan,nan,nan,nan,nan,nan,136.69667336371188,52.98111020971451,-74.28,70.006,135.359,169.53,thin,G5,7.55,0.928,0.2,-17.9,-3.5,5075.0,3.14,nan,8.65237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44766,,-0.03,nan,0.08,0.25,-0.12,0.0,0.06,-0.13,-0.01,nan,0.06,-0.02,-0.09,-0.11,nan,0.03,-0.02,136.85891066995794,58.87505487735338,-46.833,43.889,106.295,124.17,thin,K1IV,7.62,1.002,25.7,-64.2,-10.7,4790.5566,3.19,nan,5.18451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44811,,-0.65,nan,-0.41,-0.18,-0.49,-0.28,-0.43,-0.43,-0.37,-0.41,-0.36,-0.56,-0.66,-1.01,-0.55,-0.63,-0.58,136.9857339133408,-50.482447683088424,-18.955,17.684,-31.428,40.74,thin,G5VFe-1.6CH-1,7.72,0.575,10.4,2.2,-26.4,5880.0,4.324545454545454,1.03,1.10298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44814,,0.11,-1.91,-0.01,nan,0.12,0.11,0.1,0.09,0.14,0.17,0.22,0.37,0.14,0.01,0.14,0.11,nan,136.99239329729733,-64.03522140548594,nan,nan,nan,60.2097316251198,N/A,G6/K1III:,9.82,0.856,nan,nan,nan,5093.285,4.325,0.87,0.794823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44818,,0.03,-2.51,-0.27,-0.16,0.1,-0.04,0.08,0.01,0.06,-0.06,0.03,-0.03,-0.03,-0.05,-0.02,-0.07,0.04,137.00020890716434,29.6542321327684,-53.248,49.654,41.451,83.78,thin,G8III,5.42,0.888,1.3,4.2,-18.6,5139.0,3.05,nan,8.75581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44821,,-0.08,nan,0.38,-0.14,-0.18,-0.11,-0.11,-0.15,-0.08,-0.04,0.08,0.18,-0.02,-0.06,0.0,-0.04,0.18,137.00887292568297,-49.449505087310996,-15.208,14.177,-24.299,31.98,thin,K2.5V,8.92,0.985,-15.7,-87.3,8.1,4882.8667,4.62,0.8,0.733186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44823,,0.34,nan,nan,-0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137.01142987971002,27.559020350275045,-51.341,47.857,36.629,79.17,thin,G2IV,8.17,0.659,-21.4,-19.4,-26.4,5787.5,4.05,1.05,1.88345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44827,,-0.41,nan,nan,nan,-0.29,-0.23,-0.12,-0.18,-0.22,-0.24,-0.12,-0.17,-0.37,-0.52,-0.28,-0.38,nan,137.0228026048504,-58.12961147738964,-61.931,57.706,-136.151,160.32,N/A,G6III/IV,6.94,0.928,nan,nan,nan,4980.0,2.82,nan,10.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44857,,-0.16,-3.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137.09791530115257,66.87323393503597,-45.835,42.596,146.508,159.31,thin,K5-IIIab,5.15,1.514,-30.9,-21,4.9,3970.5,1.66,nan,44.1096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44858,,-0.27,-0.7,-0.34,-0.35,-0.34,-0.29,-0.34,-0.33,-0.28,-0.12,-0.31,-0.43,-0.37,-0.5,-0.35,-0.43,-0.4,137.0994559293572,27.535440652499766,-30.445,28.292,21.668,46.87,thin,G0V,8.25,0.58,-31.8,8.5,13.6,5901.85,4.49,1.1,0.935026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44860,,-0.4,-2.65,-0.13,0.04,-0.35,-0.11,-0.16,-0.21,-0.19,-0.19,-0.13,-0.37,-0.4,-0.77,-0.28,-0.38,-0.4,137.10515709752235,-15.144787367546213,-26.271,24.408,-9.706,37.15,thick,G0.5V,7.29,0.617,-69.2,-74,-65,5829.0,4.322307692307692,1.06,1.13448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44862,,-0.27,nan,-0.35,-0.42,-0.25,-0.32,-0.31,-0.36,-0.31,nan,-0.27,-0.41,-0.33,-0.37,-0.29,-0.49,nan,137.11059720362823,13.220443742540857,nan,nan,nan,212.32629580037,N/A,M8,9.2,1.113,nan,nan,nan,3294.3333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44864,,-0.29,-0.7,-0.32,nan,-0.35,-0.12,nan,-0.35,-0.22,-0.19,-0.32,-0.33,-0.42,-0.61,-0.39,-0.35,-0.48,137.11315132865775,27.54312992310876,-27.578,25.615,19.63,42.45,thin,G0V,8.28,0.58,-27.4,8.7,11.7,5994.0,4.53442,1.09,0.934404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
HIP 44890,,0.0,-0.91,-0.06,-0.08,-0.11,0.0,-0.05,-0.03,0.09,-0.01,0.06,-0.02,0.0,-0.18,-0.08,-0.05,nan,137.1956875362917,-5.116087896769612,-32.073,29.704,-3.914,43.89,thin,G5/6,8.15,0.655,-18.1,6.8,1.6,5779.0,4.513333333333334,1.04,0.935673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
