star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name,Exo
Gaia DR2 1448493427272476288,,-0.22,nan,-0.21,nan,-0.19,-0.09,-0.28,-0.24,-0.15,-0.06,-0.21,-0.1,-0.28,-0.5,-0.08,-0.29,-0.39,203.5992021112569,26.276136870470026,nan,nan,nan,128.034628273586,N/A,nan,nan,nan,nan,nan,nan,6347.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 1588936345294751872,,-1.05,nan,nan,nan,nan,nan,nan,1.2,-1.38,-0.15,-0.15,-0.38,-0.26,nan,0.38,-0.44,nan,225.94679021383857,47.65397723080229,nan,nan,nan,12.9469860595099,N/A,nan,nan,nan,nan,nan,nan,5247.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 2077618037775709568,c,-0.19,nan,-0.08,0.14,-0.19,-0.03,-0.05,-0.04,-0.1,nan,0.06,-0.06,-0.19,-0.51,nan,-0.13,-0.13,nan,nan,nan,nan,nan,nan,N/A,nan,nan,nan,nan,nan,nan,5590.5,4.236666666666666,nan,nan,,,2,Transit,33.67276962,9.12e-05,-9.12e-05,0.2018,,,,,,89.95,,,,,,,,,1.89,0.04,-0.04,,,,241.949,,,,,,,,,1
Gaia DR2 2102730157496733952,b,0.14,nan,0.06,0.0,-0.01,0.15,0.13,0.08,0.21,nan,0.16,0.17,0.12,-0.02,nan,0.16,0.17,289.04219391929365,42.8825345916426,nan,nan,nan,562.116354757098,N/A,nan,nan,nan,nan,nan,nan,5410.6665,4.386666666666667,1.03,1.28023,,,1,Transit,2.71407755,3.71e-06,-3.71e-06,,,,,,,,,,,,,,,,1.17,0.28,-0.11,0.104,0.025,-0.01,562.116,,,,,,,,,1
Gaia DR2 232899966044905472,,0.03,-1.44,0.03,nan,0.1,0.03,-0.06,0.03,0.06,0.21,0.0,-0.06,-0.06,-0.15,nan,0.05,-0.18,63.93770675105573,45.393806812159944,nan,nan,nan,77.0376582648428,N/A,nan,nan,nan,nan,nan,nan,5873.185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 2560480320134740096,,-1.88,nan,nan,-1.66,nan,-1.58,nan,nan,nan,nan,-1.6,nan,nan,nan,nan,nan,nan,26.307554247845466,3.513681493964581,nan,nan,nan,337.7234135602392,N/A,nan,nan,nan,nan,nan,nan,5986.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 2572433347264096768,,-0.08,nan,-0.07,nan,-0.1,-0.14,nan,-0.01,-0.08,0.1,-0.06,nan,-0.1,-0.33,-0.31,-0.09,-0.11,26.063276320924274,9.484080229882403,nan,nan,nan,72.7301411028323,N/A,nan,nan,nan,nan,nan,nan,6515.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 5725122965270676864,,0.03,nan,-0.04,-0.12,-0.12,0.08,-0.22,-0.06,0.08,nan,nan,nan,0.0,-0.1,nan,nan,nan,122.64289177913963,-13.814203156182915,nan,nan,nan,20.9057658457755,N/A,nan,nan,nan,nan,nan,nan,3599.5166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 6160938171579414016,,-1.16,nan,-0.92,nan,nan,-1.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.6552381516238,-41.431817404745985,nan,nan,nan,288.800796184677,N/A,nan,nan,nan,nan,nan,nan,4933.82,4.27528,0.82,1.09219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR2 6734946570607247360,,-0.13,nan,0.26,nan,nan,-0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,277.22954199049803,-34.17365090025175,nan,nan,nan,109.757364440737,N/A,nan,nan,nan,nan,nan,nan,5054.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
