f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
HIP 98431 ,-0.27 ,,0.27 ,0.20 ,-0.07 ,-0.22 ,-0.36 ,-0.29 ,-0.12 ,0.09 ,-0.26 ,-0.19 ,-0.26 ,,-0.17 ,-0.29 ,0.43 ,299.9929040 ,-48.9753279 ,25.580 ,-44.319 ,-58.815 ,77.96 ,thin ,F8/G0(III)W(P) ,8.56 ,0.532 ,16.50 ,2.30 ,10.50 ,5960.0 ,4.50 ,1.15 ,1.23 ,,,,,,
HIP 92864 ,0.11 ,,0.15 ,0.08 ,0.08 ,0.19 ,0.07 ,0.08 ,0.12 ,0.16 ,0.07 ,0.02 ,0.09 ,-0.04 ,0.11 ,0.06 ,0.13 ,283.8355277 ,-32.5428445 ,19.201 ,-77.965 ,-51.238 ,95.25 ,thick ,F7/8V ,8.37 ,0.576 ,-41.70 ,-88.30 ,-15.80 ,6148.7 ,4.09 ,1.17 ,1.61 ,,,,,,
HIP 103787 ,-0.06 ,,-0.10 ,,0.18 ,-0.02 ,0.10 ,-0.05 ,0.03 ,0.48 ,0.28 ,0.55 ,-0.01 ,-0.28 ,0.10 ,-0.03 ,,315.4711567 ,-22.5826051 ,25.042 ,-24.633 ,-14.609 ,38.04 ,N/A ,K3.5V ,9.54 ,1.055 ,,,,4828.0 ,4.42 ,0.78 ,0.71 ,,,,,,
HIP 98442 ,0.12 ,,,,0.28 ,0.09 ,0.24 ,0.19 ,0.22 ,1.10 ,0.40 ,0.24 ,0.45 ,0.10 ,0.65 ,0.24 ,1.13 ,300.0340911 ,7.7606193 ,23.235 ,-40.189 ,6.326 ,46.85 ,thin ,F5 ,7.23 ,0.506 ,-12.50 ,-7.70 ,-3.40 ,6422.0 ,4.38 ,1.30 ,1.22 ,,,,,,
2MASS 19150925-1552241 ,0.03 ,,,,-0.11 ,0.02 ,-0.15 ,0.02 ,0.03 ,,-0.06 ,-0.03 ,,-0.18 ,0.05 ,0.05 ,,288.7885578 ,-15.8733596 ,93.126 ,-273.736 ,-82.219 ,300.61 ,N/A ,,,,,,,6051.0 ,4.18 ,1.13 ,1.42 ,,,,,,
HIP 32916 ,0.35 ,-2.89 ,0.23 ,0.10 ,0.31 ,0.31 ,0.30 ,0.27 ,0.32 ,0.42 ,0.31 ,0.26 ,0.31 ,0.32 ,0.38 ,0.31 ,0.26 ,102.8771514 ,40.8677571 ,-7.254 ,31.729 ,28.162 ,43.04 ,thin ,G0 ,8.10 ,0.729 ,-14.30 ,-25.80 ,1.10 ,5602.5 ,4.44 ,0.99 ,1.04 ,b ,4.94724 ,0.1149 ,0.06 ,0.058 ,
HD 154905 ,0.06 ,,,,0.12 ,0.15 ,0.16 ,0.12 ,0.16 ,0.38 ,0.24 ,0.22 ,0.16 ,0.06 ,0.20 ,0.20 ,-0.11 ,256.3342149 ,54.4706322 ,-3.728 ,-15.332 ,22.097 ,27.15 ,N/A ,,,,,,,6427.0 ,4.25 ,1.30 ,1.42 ,,,,,,
HIP 154 ,0.09 ,,0.50 ,0.26 ,,,,-0.06 ,0.03 ,,,,,,,,,0.4900634 ,-6.0140746 ,126.295 ,1.080 ,-13.306 ,127.00 ,thin ,M2III ,4.41 ,1.631 ,-12.50 ,-38.10 ,-4.10 ,3647.0 ,,,,,,,,,
HIP 98461 ,-0.15 ,-3.28 ,,,,-0.04 ,-0.02 ,,-0.03 ,-0.06 ,-0.07 ,-0.06 ,-0.08 ,-0.30 ,-0.07 ,-0.14 ,,300.0663871 ,-37.7017226 ,45.545 ,-78.676 ,-70.266 ,114.90 ,thin ,G8/K0III ,5.96 ,0.989 ,15.40 ,2.00 ,-19.90 ,4887.0 ,2.68 ,,11.17 ,,,,,,
HIP 98470 ,-0.31 ,,-0.52 ,,,,,,,,,,,,,,,300.0843712 ,-33.7034521 ,9.182 ,-15.850 ,-12.218 ,22.02 ,thin ,F8.5VFe-0.6CH-0.5 ,5.66 ,0.498 ,-16.10 ,-26.90 ,-12.70 ,6360.5 ,4.38 ,1.27 ,1.21 ,,,,,,
HIP 171 ,-0.73 ,,0.10 ,-0.30 ,-0.70 ,-0.40 ,-0.51 ,-0.53 ,-0.54 ,-0.45 ,-0.48 ,-0.60 ,-0.81 ,-1.16 ,-0.56 ,-0.78 ,-0.61 ,0.5430880 ,27.0817992 ,11.257 ,0.107 ,5.756 ,12.64 ,thin ,G5VFe-1 ,5.75 ,0.690 ,-8.80 ,-74.80 ,-34.30 ,5363.0 ,4.41 ,,,,,,,,
HIP 65708 ,-0.03 ,-2.58 ,0.07 ,0.07 ,-0.02 ,0.11 ,-0.01 ,-0.01 ,,0.08 ,0.03 ,-0.10 ,-0.06 ,-0.19 ,0.02 ,-0.04 ,-0.10 ,202.0779579 ,-0.8401938 ,-41.605 ,-16.875 ,-0.658 ,44.90 ,thick ,G3/5V ,7.44 ,0.651 ,72.80 ,-31.10 ,-57.10 ,5725.4 ,4.26 ,1.06 ,1.32 ,,,,,,
HIP 98478 ,-0.13 ,-3.28 ,0.08 ,,,,,,,,,,,,,,,300.0962424 ,-66.9494105 ,14.519 ,-25.051 ,-68.045 ,73.95 ,thin ,K0III ,5.75 ,1.033 ,-9.50 ,-73.90 ,-7.00 ,4803.0 ,,,8.10 ,,,,,,
HIP 98482 ,-0.14 ,,,,-0.06 ,-0.10 ,-0.08 ,-0.02 ,-0.07 ,,-0.07 ,-0.02 ,-0.11 ,-0.18 ,-0.05 ,-0.14 ,,300.1055316 ,-49.3509456 ,35.362 ,-60.988 ,-82.109 ,108.22 ,thin ,K0III ,6.18 ,1.056 ,74.50 ,-19.50 ,-2.40 ,4720.0 ,2.61 ,,10.38 ,,,,,,
HIP 32948 ,0.04 ,-2.88 ,,,,,,,,,,,,,,,,102.9470277 ,86.6843403 ,-1.674 ,7.281 ,128.952 ,129.17 ,thin ,K3III ,6.59 ,1.177 ,-63.70 ,-17.80 ,10.40 ,4679.0 ,,,10.68 ,,,,,,
HIP 184 ,0.18 ,,0.09 ,0.07 ,0.03 ,0.08 ,0.05 ,0.08 ,0.13 ,,0.09 ,0.13 ,0.11 ,0.04 ,,0.14 ,0.05 ,0.5897621 ,11.0062375 ,33.214 ,0.342 ,6.460 ,33.84 ,thin ,K0 ,8.48 ,0.888 ,6.20 ,-14.70 ,9.70 ,5085.1 ,4.48 ,0.85 ,0.88 ,,,,,,
HIP 65721 ,-0.03 ,-1.45 ,0.06 ,-0.01 ,-0.13 ,0.07 ,0.01 ,-0.05 ,0.01 ,0.07 ,0.02 ,-0.07 ,-0.08 ,-0.17 ,0.05 ,-0.07 ,-0.09 ,202.1075341 ,13.7787898 ,-16.108 ,-6.543 ,4.264 ,17.90 ,thin ,G5V ,4.97 ,0.714 ,12.90 ,-51.40 ,-4.30 ,5531.6 ,3.97 ,0.96 ,1.92 ,b ,116.69335 ,7.23 ,0.3989 ,0.4765 ,
HIP 32955 ,-0.66 ,-0.91 ,,-0.34 ,-0.67 ,-0.50 ,-0.63 ,-0.60 ,-0.54 ,-0.56 ,-0.55 ,-0.59 ,-0.76 ,-0.95 ,,-0.73 ,,102.9620628 ,41.5763122 ,-10.661 ,46.319 ,42.164 ,63.54 ,thin ,F8 ,7.85 ,0.439 ,27.10 ,28.90 ,-20.60 ,6269.8 ,4.13 ,1.23 ,1.31 ,,,,,,
HIP 65725 ,0.01 ,,0.04 ,0.08 ,-0.12 ,0.02 ,-0.06 ,,0.04 ,0.06 ,0.02 ,-0.08 ,0.01 ,-0.26 ,-0.06 ,-0.05 ,0.14 ,202.1111720 ,15.7082990 ,-45.480 ,-18.478 ,13.806 ,50.99 ,thin ,F5 ,7.91 ,0.540 ,-16.30 ,-4.50 ,-13.10 ,6079.0 ,,,,,,,,,
2MASS 19150050-1614245 ,0.09 ,,,,-0.05 ,0.07 ,-0.09 ,0.04 ,0.01 ,,,,0.16 ,-0.01 ,0.14 ,0.11 ,,288.7521344 ,-16.2401405 ,96.369 ,-283.859 ,-87.320 ,312.23 ,N/A ,,,,,,,5795.0 ,4.05 ,1.04 ,1.59 ,,,,,,
2MASS 19303315+4422130 ,0.17 ,-0.99 ,-0.03 ,-0.09 ,0.07 ,0.22 ,,0.07 ,0.17 ,,0.08 ,0.04 ,0.09 ,,,0.03 ,,292.6381764 ,44.3702924 ,75.633 ,-181.355 ,192.222 ,274.88 ,N/A ,,9.93 ,,,,,6363.5 ,3.96 ,1.30 ,2.10 ,,,,,,
HIP 65737 ,-0.28 ,-1.40 ,-0.22 ,-0.27 ,-0.29 ,-0.12 ,-0.22 ,-0.20 ,-0.16 ,-0.15 ,-0.19 ,-0.30 ,-0.28 ,-0.53 ,-0.25 ,-0.29 ,-0.36 ,202.1273027 ,-27.3918455 ,-30.030 ,-12.211 ,-16.798 ,36.51 ,thin ,F9.5V ,7.21 ,0.583 ,-41.90 ,-2.30 ,33.90 ,5892.2 ,4.40 ,1.07 ,1.18 ,,,,,,
HIP 32970 ,0.32 ,-0.66 ,0.38 ,0.20 ,0.46 ,0.35 ,0.32 ,0.34 ,0.32 ,0.36 ,0.30 ,0.22 ,0.27 ,0.34 ,0.27 ,0.39 ,0.28 ,103.0084347 ,-33.9155601 ,-8.646 ,37.424 ,-25.825 ,46.28 ,thin ,G0/2V ,7.20 ,0.614 ,-32.50 ,-21.40 ,-17.00 ,6043.2 ,4.32 ,1.09 ,1.44 ,b c ,2462.0 10400.0 ,1.346 3.18 ,0.348 0.241 ,3.846 10.1 ,
HIP 32971 ,-0.03 ,,-0.12 ,,-0.14 ,-0.10 ,-0.19 ,-0.06 ,-0.04 ,,-0.04 ,-0.16 ,-0.06 ,,-0.21 ,-0.11 ,,103.0099376 ,-11.2045105 ,-10.423 ,45.110 ,-9.171 ,47.20 ,thin ,G4.5V ,7.43 ,0.721 ,-13.30 ,-5.40 ,-7.50 ,5489.0 ,,,,,,,,,
