f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
2MASS 18590919+4435300 ,-0.30 ,,-0.20 ,-0.22 ,-0.49 ,-0.28 ,-0.58 ,-0.31 ,-0.25 ,,-0.19 ,-0.20 ,-0.31 ,-0.66 ,,-0.32 ,-0.40 ,284.7882927 ,44.5916739 ,197.741 ,-749.040 ,763.737 ,1087.87 ,N/A ,,,,,,,5906.7 ,4.09 ,1.07 ,1.55 ,b c ,16.2254649 29.66624383 ,None None ,None None ,None None ,
HIP 117886 ,0.12 ,,0.11 ,,0.17 ,-0.18 ,0.11 ,0.17 ,-0.01 ,-0.04 ,0.10 ,0.04 ,-0.03 ,-0.13 ,0.23 ,0.05 ,,358.6929342 ,-21.7745114 ,21.739 ,-0.496 ,-8.686 ,23.41 ,thin ,M0.5V ,10.80 ,1.431 ,-2.80 ,14.80 ,4.50 ,3860.0 ,4.68 ,0.56 ,0.56 ,,,,,,
2MASS 19090160+4604003 ,-0.03 ,,-0.04 ,0.02 ,-0.25 ,-0.07 ,-0.19 ,-0.06 ,,,-0.04 ,-0.08 ,-0.02 ,-0.19 ,,-0.08 ,0.06 ,287.2566870 ,46.0667723 ,92.574 ,-298.014 ,323.904 ,449.77 ,N/A ,,,,,,,5471.7 ,4.61 ,0.96 ,0.80 ,b ,9.7678805 ,None ,None ,0.0867 ,
HIP 52353 ,0.12 ,-3.26 ,0.05 ,,0.38 ,0.44 ,0.38 ,0.45 ,0.20 ,0.12 ,0.21 ,0.28 ,0.27 ,0.19 ,0.30 ,0.32 ,0.15 ,160.4857982 ,65.7162802 ,-26.792 ,9.495 ,63.001 ,69.12 ,thin ,K2III ,5.11 ,1.207 ,-36.50 ,-42.30 ,-25.40 ,4490.0 ,2.71 ,,11.57 ,,,,,,
HIP 19587 ,0.11 ,-0.55 ,,,,,,,,,,,,,,,,62.9664150 ,-6.8375803 ,16.477 ,32.292 ,-4.347 ,36.51 ,thin ,F0III ,4.04 ,0.327 ,-17.10 ,6.30 ,0.10 ,7050.0 ,1.50 ,1.56 ,3.34 ,,,,,,
HIP 117895 ,-0.18 ,,-0.17 ,,-0.14 ,-0.21 ,-0.16 ,-0.20 ,-0.12 ,-0.15 ,-0.07 ,,-0.17 ,-0.33 ,-0.18 ,-0.21 ,,358.7087026 ,-47.8079273 ,33.474 ,-0.755 ,-36.937 ,49.85 ,thin ,K0V ,9.44 ,0.825 ,-5.80 ,8.60 ,-13.90 ,5218.0 ,4.43 ,0.89 ,0.76 ,,,,,,
HIP 117902 ,0.19 ,,0.15 ,0.22 ,0.17 ,0.30 ,0.28 ,0.21 ,0.18 ,0.29 ,0.27 ,0.20 ,0.18 ,0.07 ,0.28 ,0.20 ,0.15 ,358.7209812 ,-0.2859811 ,54.994 ,-1.228 ,-0.275 ,55.01 ,thin ,G8IV(+G) ,8.50 ,0.734 ,-20.80 ,-60.30 ,-1.40 ,5582.8 ,4.33 ,0.99 ,1.18 ,,,,,,
HIP 19601 ,0.15 ,-2.76 ,-0.12 ,0.04 ,0.22 ,0.30 ,0.20 ,0.22 ,0.16 ,0.16 ,0.12 ,0.01 ,0.18 ,0.10 ,0.19 ,0.14 ,0.23 ,63.0011323 ,-17.2747331 ,51.214 ,100.518 ,-35.083 ,118.14 ,N/A ,K0III ,6.41 ,0.968 ,,,,5042.0 ,,,8.35 ,,,,,,
HIP 19614 ,-0.15 ,,-0.37 ,-0.26 ,-0.33 ,-0.22 ,-0.30 ,-0.37 ,-0.16 ,,-0.19 ,-0.27 ,-0.21 ,-0.27 ,,-0.15 ,0.06 ,63.0466540 ,-13.6371753 ,75.863 ,149.190 ,-40.606 ,172.23 ,thin ,G8III/IV ,8.00 ,0.930 ,-15.00 ,-42.30 ,24.40 ,4902.0 ,,,6.29 ,,,,,,
HIP 117404 ,-0.38 ,,-0.25 ,-0.42 ,-0.38 ,-0.30 ,-0.32 ,-0.34 ,-0.30 ,-0.35 ,-0.24 ,-0.31 ,-0.36 ,-0.56 ,-0.37 ,-0.41 ,-0.24 ,357.0888510 ,-27.8974975 ,32.545 ,-1.655 ,-17.252 ,36.87 ,thin ,G8.5V ,8.62 ,0.766 ,-14.80 ,-21.70 ,-13.40 ,5402.0 ,4.50 ,0.92 ,0.77 ,,,,,,
2MASS 19382712+4503366 ,0.01 ,,-0.01 ,0.03 ,-0.13 ,,-0.09 ,-0.03 ,0.03 ,,,0.04 ,0.02 ,-0.19 ,,-0.01 ,0.06 ,294.6130042 ,45.0601719 ,282.856 ,-617.440 ,680.574 ,961.47 ,N/A ,,,,,,,5791.4 ,4.20 ,1.04 ,1.34 ,b ,11.55102504 ,None ,None ,0.0974 ,
HIP 85158 ,-0.05 ,-0.94 ,-0.01 ,-0.06 ,-0.05 ,-0.04 ,-0.11 ,-0.05 ,-0.01 ,0.01 ,-0.04 ,-0.20 ,-0.08 ,-0.21 ,-0.07 ,-0.10 ,-0.01 ,261.0364166 ,-34.7984551 ,-4.235 ,-26.847 ,-18.889 ,33.10 ,thin ,F9.5V ,6.92 ,0.588 ,-26.90 ,-19.90 ,-16.00 ,5998.8 ,4.40 ,1.09 ,1.19 ,,,,,,
HIP 85160 ,0.06 ,,,,0.11 ,0.06 ,0.07 ,0.09 ,0.09 ,,0.01 ,-0.08 ,0.02 ,,0.07 ,-0.03 ,,261.0463580 ,36.9228577 ,-22.224 ,-141.056 ,107.303 ,178.62 ,thin ,K0 ,7.20 ,0.976 ,-26.30 ,-21.70 ,-4.30 ,4994.5 ,,,9.08 ,,,,,,
HIP 19631 ,-0.34 ,-1.35 ,-0.02 ,-0.11 ,-0.40 ,-0.27 ,-0.41 ,-0.23 ,-0.31 ,,-0.38 ,-0.49 ,,-0.70 ,-0.39 ,-0.42 ,,63.0955851 ,37.7120873 ,24.781 ,48.836 ,42.345 ,69.22 ,thick ,G0 ,8.19 ,0.617 ,49.00 ,-22.90 ,64.70 ,5821.4 ,4.01 ,1.06 ,1.45 ,,,,,,
HIP 19633 ,0.34 ,-1.58 ,0.41 ,0.30 ,0.44 ,0.37 ,0.38 ,0.35 ,0.31 ,0.43 ,0.40 ,0.45 ,0.33 ,0.28 ,0.47 ,0.39 ,,63.0987717 ,-31.5811007 ,20.803 ,41.002 ,-28.265 ,53.97 ,thin ,G5IV ,7.44 ,0.735 ,-4.80 ,-57.60 ,7.20 ,5666.0 ,4.17 ,1.01 ,1.71 ,,,,,,
HIP 85170 ,-0.20 ,,-0.41 ,-0.17 ,-0.46 ,-0.28 ,-0.41 ,-0.30 ,-0.21 ,-0.18 ,-0.30 ,-0.26 ,-0.31 ,-0.56 ,-0.26 ,-0.33 ,-0.28 ,261.0818741 ,72.9357713 ,-13.802 ,-87.956 ,290.048 ,303.40 ,thin ,K0 ,7.84 ,0.988 ,-8.10 ,-18.80 ,-20.10 ,4926.0 ,,,12.16 ,,,,,,
HIP 96115 ,-2.25 ,-1.02 ,-0.87 ,-1.49 ,-2.32 ,-1.82 ,-0.76 ,-0.82 ,-1.83 ,-2.43 ,-1.83 ,-1.24 ,-2.44 ,-1.81 ,-1.15 ,-2.15 ,,293.1329602 ,26.3905880 ,41.665 ,-97.527 ,52.624 ,118.39 ,thick ,B5 ,9.37 ,0.390 ,21.60 ,-155.80 ,-60.30 ,6140.5 ,3.77 ,1.18 ,1.27 ,,,,,,
HIP 52409 ,0.32 ,-2.06 ,0.30 ,0.15 ,0.33 ,0.33 ,0.32 ,0.29 ,0.29 ,0.44 ,0.34 ,0.28 ,0.27 ,0.30 ,0.44 ,0.36 ,0.39 ,160.7022003 ,-2.1837561 ,-32.683 ,11.444 ,-1.320 ,34.65 ,thin ,G6V ,7.30 ,0.694 ,17.50 ,-24.70 ,-22.50 ,5738.1 ,4.41 ,1.02 ,1.15 ,b c ,325.705 8360.0 ,3.52 2.81 ,0.3552 0.355 ,0.949 8.26 ,
HIP 117946 ,0.04 ,,0.09 ,-0.01 ,-0.14 ,-0.05 ,-0.12 ,0.11 ,0.10 ,,-0.01 ,0.01 ,0.01 ,-0.12 ,,-0.01 ,0.01 ,358.8608274 ,22.1932824 ,23.612 ,-0.470 ,9.634 ,25.51 ,thin ,K3V ,8.77 ,1.020 ,-13.00 ,-28.30 ,-11.00 ,4790.0 ,4.62 ,0.77 ,0.71 ,,,,,,
HIP 90655 ,0.18 ,-0.75 ,,0.18 ,,,,,,,,,,,,,,277.4667428 ,-26.0253986 ,11.180 ,-85.301 ,-42.007 ,95.74 ,thick ,G5V ,8.81 ,0.613 ,-91.10 ,-37.20 ,-58.80 ,5831.0 ,4.02 ,1.05 ,1.51 ,,,,,,
2MASS 18530163+4505159 ,-0.27 ,,-0.25 ,-0.23 ,-0.50 ,-0.21 ,-0.33 ,-0.23 ,-0.21 ,,-0.21 ,-0.20 ,-0.27 ,-0.51 ,,-0.26 ,-0.20 ,283.2568360 ,45.0877701 ,56.433 ,-239.532 ,246.845 ,348.56 ,N/A ,,,,,,,5265.3 ,4.57 ,0.90 ,0.81 ,b ,None ,None ,None ,None ,
HIP 90656 ,0.22 ,,0.22 ,0.06 ,0.41 ,0.22 ,0.40 ,0.20 ,0.28 ,0.75 ,0.40 ,0.56 ,0.19 ,0.23 ,0.44 ,0.24 ,0.20 ,277.4683645 ,-1.8181025 ,2.439 ,-18.603 ,-0.596 ,18.77 ,thin ,K4V ,8.00 ,1.074 ,-42.90 ,-33.00 ,-25.10 ,4734.8 ,4.45 ,0.76 ,0.76 ,,,,,,
HIP 117954 ,0.10 ,,,,0.22 ,0.16 ,0.18 ,0.12 ,0.03 ,,0.04 ,-0.03 ,0.07 ,,0.19 ,0.07 ,,358.8859265 ,52.7355800 ,81.615 ,-1.587 ,107.293 ,134.82 ,thin ,K2III ,6.61 ,1.202 ,-38.20 ,-17.30 ,3.00 ,4540.5 ,,,12.16 ,,,,,,
BD+46 02729 ,-0.04 ,-0.48 ,-0.05 ,-0.14 ,-0.12 ,0.02 ,,-0.09 ,-0.02 ,,-0.13 ,-0.11 ,-0.12 ,,,-0.15 ,,293.7715245 ,46.9748654 ,47.106 ,-106.948 ,125.210 ,171.27 ,N/A ,,9.81 ,,,,,6277.0 ,4.13 ,1.24 ,1.37 ,,,,,,
HIP 117958 ,0.07 ,,-0.19 ,,-0.06 ,-0.04 ,-0.11 ,0.05 ,0.03 ,,0.13 ,,0.12 ,,0.13 ,,,358.8956985 ,-20.9531638 ,37.419 ,-0.721 ,-14.331 ,40.08 ,thin ,G1V ,7.91 ,0.640 ,-0.70 ,6.10 ,-14.50 ,5864.5 ,4.48 ,1.04 ,0.97 ,,,,,,
HIP 19655 ,-0.23 ,,,,,-0.14 ,,,,,,0.01 ,,,,,,63.1757155 ,70.2015666 ,3.948 ,7.808 ,24.304 ,25.83 ,thin ,K7V ,9.70 ,1.216 ,15.30 ,1.80 ,-8.60 ,4665.0 ,4.66 ,0.74 ,0.54 ,,,,,,
HIP 117960 ,0.20 ,,,,0.18 ,0.21 ,0.12 ,0.13 ,0.12 ,0.15 ,0.18 ,0.35 ,0.15 ,-0.02 ,0.16 ,0.10 ,,358.9001369 ,0.6958352 ,55.100 ,-1.058 ,0.669 ,55.11 ,N/A ,K1IV ,9.22 ,0.861 ,,,,5252.0 ,4.54 ,,0.84 ,,,,,,
HIP 117961 ,0.08 ,,,-0.03 ,-0.05 ,0.18 ,0.12 ,0.03 ,0.11 ,0.13 ,0.05 ,-0.04 ,0.01 ,-0.08 ,0.10 ,-0.01 ,-0.10 ,358.9063118 ,-51.3742598 ,55.517 ,-1.060 ,-69.493 ,88.95 ,thin ,G5V ,8.51 ,0.697 ,-39.90 ,-73.60 ,-26.60 ,5648.7 ,3.91 ,1.00 ,1.73 ,,,,,,
HIP 19658 ,0.15 ,,0.01 ,0.36 ,-0.04 ,0.03 ,-0.22 ,0.11 ,0.20 ,,0.14 ,-0.01 ,0.19 ,,0.09 ,0.13 ,,63.1822580 ,-47.5657099 ,18.441 ,36.479 ,-44.710 ,60.58 ,N/A ,G3V ,8.73 ,0.663 ,,,,5778.0 ,4.45 ,1.04 ,1.00 ,,,,,,
HIP 85196 ,-0.04 ,,,,-0.16 ,0.06 ,0.06 ,0.03 ,-0.03 ,0.17 ,0.13 ,0.02 ,-0.05 ,-0.21 ,0.08 ,0.02 ,-0.14 ,261.1548826 ,50.6857517 ,-5.306 ,-34.094 ,42.135 ,54.46 ,thin ,G5 ,7.57 ,0.700 ,25.50 ,-17.50 ,16.50 ,5604.0 ,3.99 ,0.99 ,1.67 ,,,,,,
HIP 117966 ,0.22 ,,,,,,,,,,,0.13 ,,,,,,358.9157584 ,-6.1425986 ,17.697 ,-0.335 ,-1.905 ,17.80 ,thin ,M2.5Vk ,11.14 ,1.465 ,53.50 ,-1.50 ,-18.50 ,3523.0 ,4.71 ,0.53 ,0.53 ,,,,,,
HIP 85204 ,0.05 ,,,,,0.14 ,0.11 ,0.47 ,0.12 ,,-0.09 ,-0.10 ,0.10 ,,,0.12 ,-0.03 ,261.1636514 ,32.6703789 ,-22.723 ,-146.171 ,94.859 ,175.73 ,thin ,K0III ,6.68 ,0.961 ,-27.70 ,-20.60 ,-15.90 ,4950.0 ,2.72 ,,10.45 ,,,,,,
HIP 68814 ,-0.06 ,-2.98 ,,,,,,,,,,,,,,,,211.3241882 ,56.5206436 ,-69.731 ,-42.438 ,123.425 ,147.98 ,thin ,K0III-IV ,7.09 ,1.044 ,-15.80 ,-15.00 ,-11.20 ,4856.9 ,,,8.48 ,,,,,,
HIP 85207 ,0.11 ,-2.06 ,-0.19 ,-0.09 ,0.32 ,0.15 ,0.12 ,0.16 ,0.15 ,0.07 ,0.09 ,-0.02 ,0.12 ,0.09 ,0.14 ,0.07 ,0.15 ,261.1751200 ,-21.4414815 ,-14.448 ,-93.063 ,-36.987 ,101.18 ,thin ,K0III ,5.82 ,0.939 ,-54.20 ,-17.20 ,-8.60 ,5128.0 ,,,8.90 ,,,,,,
2MASS 19565318+4441379 ,-0.01 ,,-0.02 ,,-0.17 ,0.01 ,-0.14 ,-0.02 ,-0.02 ,,-0.06 ,-0.05 ,-0.02 ,-0.14 ,,0.01 ,-0.05 ,299.2216066 ,44.6938878 ,222.027 ,-396.919 ,449.963 ,639.77 ,N/A ,,,,,,,5928.6 ,4.28 ,1.08 ,1.25 ,b ,50.28638192 ,None ,None ,0.2551 ,
HIP 19679 ,-0.50 ,,,,-0.24 ,-0.24 ,-0.22 ,-0.43 ,-0.28 ,-0.42 ,-0.35 ,-0.45 ,,-0.68 ,,-0.48 ,,63.2435116 ,32.5327265 ,126.970 ,251.833 ,179.900 ,334.52 ,N/A ,K0 ,6.68 ,1.704 ,,,,3810.0 ,0.52 ,,72.65 ,,,,,,
HIP 30588 ,-0.16 ,-3.28 ,,,,,,,,,,,,,,,,96.4280288 ,21.6450311 ,-14.486 ,128.580 ,51.348 ,139.21 ,thin ,G8III ,6.53 ,0.930 ,23.50 ,-0.30 ,-8.40 ,5123.0 ,,,9.05 ,,,,,,
HIP 52462 ,0.08 ,,-0.04 ,,-0.02 ,-0.04 ,-0.01 ,0.07 ,0.12 ,0.06 ,0.06 ,0.03 ,0.05 ,-0.06 ,0.02 ,0.02 ,0.18 ,160.8677985 ,-29.0642859 ,-17.776 ,6.167 ,-10.457 ,21.53 ,thin ,K1V ,7.72 ,0.873 ,-14.80 ,-27.90 ,-4.00 ,5169.3 ,4.63 ,0.86 ,0.79 ,,,,,,
HIP 19696 ,-0.06 ,-2.47 ,0.22 ,,-0.21 ,-0.12 ,-0.29 ,-0.01 ,-0.20 ,,-0.22 ,-0.29 ,,-0.51 ,-0.15 ,,,63.2956654 ,16.7668335 ,33.267 ,66.132 ,22.304 ,77.31 ,thin ,G2 ,9.15 ,0.640 ,-12.70 ,-60.10 ,36.50 ,5680.8 ,4.34 ,1.03 ,1.08 ,,,,,,
HIP 85235 ,-0.43 ,,-0.24 ,-0.26 ,-0.45 ,-0.26 ,-0.37 ,-0.35 ,-0.31 ,-0.30 ,-0.26 ,-0.35 ,-0.41 ,-0.62 ,-0.27 ,-0.42 ,-0.44 ,261.2504096 ,67.3067084 ,-0.751 ,-4.876 ,11.799 ,12.79 ,thin ,K0V ,6.43 ,0.759 ,1.50 ,-50.00 ,5.40 ,5317.2 ,4.60 ,0.93 ,0.74 ,,,,,,
HIP 52471 ,0.33 ,,0.21 ,,,,,,,,,,,,,,,160.8951777 ,4.2507803 ,-69.213 ,23.974 ,5.444 ,73.45 ,thin ,F7/8V ,8.09 ,0.581 ,-38.10 ,-12.30 ,-2.80 ,6294.0 ,4.28 ,1.23 ,1.33 ,,,,,,
HIP 52472 ,0.03 ,-1.33 ,,0.04 ,0.08 ,0.03 ,0.03 ,0.08 ,0.02 ,,0.09 ,,-0.04 ,,,0.02 ,,160.9011551 ,-39.0584856 ,-31.943 ,11.061 ,-27.431 ,43.53 ,thin ,G2/3V ,7.02 ,0.641 ,1.50 ,-3.80 ,4.30 ,5797.3 ,4.03 ,1.04 ,1.59 ,b ,10790.0 ,17.9 ,0.25 ,9.75 ,
HIP 118009 ,-0.04 ,,0.08 ,-0.11 ,0.19 ,-0.02 ,0.04 ,-0.11 ,-0.06 ,0.30 ,0.11 ,0.47 ,-0.05 ,-0.20 ,0.05 ,-0.04 ,,359.0428018 ,-72.0021793 ,15.309 ,-0.256 ,-47.130 ,49.55 ,N/A ,K3V: ,9.94 ,0.967 ,,,,4908.5 ,4.53 ,0.80 ,0.74 ,,,,,,
HIP 118010 ,-0.08 ,-2.07 ,0.17 ,0.02 ,-0.19 ,0.03 ,0.03 ,-0.04 ,,,-0.02 ,-0.35 ,-0.09 ,-0.40 ,-0.21 ,-0.10 ,-0.15 ,359.0476423 ,59.7676075 ,24.902 ,-0.414 ,42.736 ,49.46 ,thin ,G1 ,7.67 ,0.638 ,-55.90 ,-21.10 ,56.00 ,5756.3 ,4.19 ,1.04 ,1.34 ,,,,,,
HIP 85244 ,0.03 ,,,,-0.07 ,-0.02 ,-0.05 ,-0.01 ,0.02 ,0.14 ,,0.08 ,0.01 ,-0.08 ,0.08 ,0.05 ,-0.06 ,261.2846602 ,53.1327511 ,-3.504 ,-22.856 ,30.834 ,38.54 ,thin ,G0 ,7.82 ,0.667 ,-18.40 ,-10.90 ,-5.20 ,5681.0 ,,,,,,,,,
HIP 85250 ,-0.15 ,,,,,-0.03 ,-0.02 ,-0.02 ,-0.07 ,-0.03 ,-0.06 ,0.03 ,-0.12 ,-0.16 ,0.01 ,-0.10 ,,261.3060705 ,-34.4299639 ,-10.145 ,-66.345 ,-46.007 ,81.37 ,N/A ,K0/1III ,6.79 ,0.962 ,,,,4936.0 ,3.16 ,,5.14 ,,,,,,
HIP 85253 ,-0.22 ,,-0.16 ,,-0.17 ,-0.17 ,-0.18 ,-0.20 ,-0.16 ,-0.15 ,-0.04 ,0.01 ,-0.18 ,-0.42 ,-0.16 ,-0.22 ,,261.3161996 ,-17.4220412 ,-7.981 ,-52.255 ,-16.588 ,55.40 ,N/A ,K0V ,9.86 ,0.825 ,,,,5195.0 ,4.49 ,0.88 ,0.76 ,,,,,,
2MASS 19215312+4423135 ,-0.56 ,,-0.43 ,-0.25 ,-0.69 ,-0.39 ,-0.46 ,-0.45 ,-0.47 ,,-0.42 ,-0.43 ,-0.58 ,-0.92 ,,-0.53 ,-0.46 ,290.4713336 ,44.3870598 ,112.919 ,-302.476 ,316.031 ,451.79 ,N/A ,,,,,,,5429.4 ,4.57 ,0.95 ,0.84 ,b ,15.87364565 ,None ,None ,None ,
2MASS 19385272+4009136 ,-0.04 ,-1.05 ,-0.09 ,0.08 ,-0.17 ,0.02 ,-0.24 ,-0.10 ,,,-0.04 ,-0.11 ,-0.08 ,-0.35 ,,-0.14 ,0.02 ,294.7197078 ,40.1537434 ,57.430 ,-124.748 ,115.866 ,179.68 ,N/A ,,,,,,,6229.0 ,4.17 ,1.20 ,1.79 ,,,,,,
2MASS 19341940+4025388 ,-0.17 ,,-0.10 ,-0.11 ,-0.36 ,-0.17 ,-0.40 ,-0.20 ,-0.12 ,,-0.18 ,-0.33 ,-0.18 ,-0.48 ,,-0.25 ,-0.06 ,293.5808454 ,40.4274965 ,191.790 ,-439.390 ,408.419 ,629.80 ,N/A ,,,,,,,6161.4 ,4.42 ,1.17 ,1.11 ,b ,11.17931605 ,None ,None ,None ,
HIP 19730 ,0.09 ,-2.40 ,,,,,,,,,,,,,,,,63.4367649 ,72.1261495 ,16.483 ,32.969 ,114.297 ,120.09 ,thin ,K1III ,6.05 ,1.019 ,-12.00 ,-16.30 ,-12.80 ,4810.0 ,2.10 ,,11.22 ,,,,,,
HIP 85268 ,-0.04 ,,,,-0.12 ,0.07 ,,0.01 ,-0.04 ,0.13 ,-0.02 ,,-0.05 ,-0.22 ,0.07 ,0.02 ,-0.24 ,261.3502329 ,52.7906858 ,-2.460 ,-16.172 ,21.543 ,27.05 ,thin ,G5VmF9 ,6.47 ,0.619 ,7.40 ,3.50 ,17.20 ,5817.0 ,4.25 ,1.04 ,1.26 ,b c d e f ,2.177946 3.432 5.1980814 7.951 12.028 ,None 0.01762 0.01702 0.01913 0.01932 ,None None None None None ,None None None None None ,
2MASS 02123147+5146435 ,0.21 ,,0.13 ,0.13 ,0.06 ,0.15 ,0.05 ,0.17 ,0.26 ,,0.16 ,0.20 ,0.20 ,0.09 ,,0.22 ,0.24 ,33.1311603 ,51.7787672 ,162.468 ,106.037 ,246.354 ,313.58 ,N/A ,,11.83 ,,,,,6086.0 ,4.34 ,1.14 ,1.23 ,b ,5.7233773 ,None ,None ,None ,
HIP 19736 ,0.21 ,-2.84 ,0.09 ,0.12 ,0.36 ,0.37 ,0.46 ,0.37 ,0.22 ,0.25 ,0.25 ,0.29 ,0.29 ,0.22 ,0.30 ,0.32 ,0.21 ,63.4576565 ,12.7537085 ,50.122 ,100.344 ,25.388 ,115.00 ,thin ,K0 ,6.25 ,1.143 ,-40.10 ,-10.10 ,-19.90 ,4685.2 ,,,14.32 ,,,,,,
HIP 19740 ,-0.06 ,,,,0.06 ,-0.05 ,-0.11 ,-0.02 ,-0.07 ,0.13 ,-0.02 ,-0.18 ,-0.20 ,-0.46 ,0.05 ,-0.15 ,,63.4849350 ,9.2638080 ,44.823 ,89.842 ,16.376 ,101.73 ,thin ,G5III ,4.89 ,0.799 ,14.60 ,-9.90 ,-9.70 ,5100.0 ,2.77 ,,,,,,,,
HIP 19746 ,0.08 ,-2.91 ,-0.09 ,0.15 ,0.07 ,0.18 ,0.26 ,0.13 ,0.16 ,0.23 ,0.22 ,0.17 ,0.12 ,0.11 ,0.18 ,0.12 ,0.18 ,63.4987178 ,37.9671497 ,48.174 ,96.618 ,84.249 ,136.94 ,thin ,G9III ,6.47 ,1.029 ,-14.70 ,34.60 ,-25.80 ,4892.0 ,,,10.52 ,,,,,,
HIP 19747 ,0.03 ,-3.30 ,0.03 ,-0.03 ,0.14 ,0.20 ,0.14 ,0.14 ,0.11 ,0.02 ,0.05 ,0.17 ,0.06 ,-0.16 ,0.04 ,0.04 ,-0.04 ,63.5004702 ,-42.2943686 ,11.810 ,23.687 ,-24.079 ,35.78 ,thin ,K2III ,3.86 ,1.085 ,22.40 ,-32.90 ,-9.40 ,4619.8 ,2.56 ,,10.33 ,,,,,,
2MASS 19234989+4724226 ,0.14 ,,-0.06 ,0.09 ,-0.19 ,0.08 ,-0.11 ,0.02 ,0.19 ,,0.17 ,0.17 ,0.14 ,-0.21 ,,0.05 ,0.17 ,290.9579154 ,47.4062713 ,181.568 ,-474.041 ,552.158 ,750.04 ,N/A ,,,,,,,6283.5 ,4.35 ,1.23 ,1.22 ,b ,13.28536452 ,None ,None ,None ,
HIP 85285 ,-0.35 ,-2.57 ,,,,,,,,,,,,,,,,261.4025944 ,-21.6317929 ,-6.957 ,-46.015 ,-18.455 ,50.06 ,N/A ,G3/5V ,8.37 ,0.642 ,,,,5768.0 ,4.46 ,1.03 ,0.99 ,,,,,,
HIP 52521 ,0.12 ,,0.34 ,0.10 ,0.16 ,0.14 ,0.22 ,0.15 ,0.08 ,0.39 ,0.23 ,0.46 ,0.16 ,0.05 ,0.24 ,0.14 ,0.16 ,161.0871464 ,-33.5770239 ,-22.475 ,7.701 ,-15.771 ,28.52 ,thin ,K2IV-V ,8.33 ,0.945 ,3.50 ,-49.10 ,-5.20 ,5049.3 ,4.34 ,0.84 ,0.83 ,b ,143.58 ,0.37 ,0.14 ,0.477 ,
HIP 85294 ,0.43 ,,,,0.44 ,0.34 ,0.38 ,0.34 ,0.24 ,0.23 ,0.35 ,0.70 ,0.22 ,0.54 ,0.65 ,0.35 ,,261.4393151 ,27.3033184 ,-12.548 ,-83.355 ,43.514 ,94.86 ,thin ,K1III ,7.46 ,1.040 ,33.00 ,7.80 ,-20.00 ,4860.5 ,3.25 ,,4.43 ,b ,521.0 ,1.8 ,0.291 ,1.52 ,
HIP 85298 ,-0.07 ,,,0.02 ,,0.06 ,-0.02 ,,-0.08 ,,-0.03 ,,,,,,,261.4499820 ,1.2874313 ,-48.335 ,-321.494 ,7.306 ,325.19 ,N/A ,K2III ,9.31 ,1.303 ,,,,4553.0 ,2.67 ,,10.19 ,,,,,,
2MASS 19261781+3839214 ,-0.18 ,,-0.16 ,-0.15 ,-0.32 ,-0.17 ,-0.21 ,-0.16 ,-0.15 ,,-0.15 ,-0.12 ,-0.18 ,-0.41 ,,-0.18 ,-0.25 ,291.5742276 ,38.6559420 ,84.456 ,-213.592 ,183.721 ,294.12 ,N/A ,,,,,,,5731.4 ,4.45 ,1.02 ,1.00 ,,,,,,
HIP 52535 ,0.13 ,,0.09 ,0.20 ,0.11 ,0.32 ,0.11 ,0.15 ,0.14 ,0.25 ,0.14 ,0.05 ,0.14 ,-0.01 ,0.17 ,0.11 ,0.19 ,161.1123380 ,-72.4434972 ,-9.167 ,3.136 ,-30.624 ,32.12 ,thin ,F6VFe+0.4 ,6.27 ,0.510 ,-14.90 ,-26.20 ,-7.80 ,6403.5 ,4.31 ,1.28 ,1.32 ,,,,,,
HD 106191 ,-0.25 ,,0.31 ,0.19 ,-0.10 ,-0.11 ,-0.30 ,-0.28 ,-0.07 ,0.03 ,-0.26 ,-0.15 ,-0.26 ,,-0.05 ,-0.26 ,0.43 ,183.2973983 ,-15.2323403 ,-149.351 ,-8.605 ,-40.736 ,155.05 ,N/A ,,10.08 ,,,,,5840.0 ,4.49 ,1.16 ,1.31 ,,,,,,
HIP 85307 ,-0.12 ,-0.11 ,,,,,-0.13 ,-0.09 ,-0.12 ,,,,,,,,,261.4911470 ,-1.6517801 ,-8.623 ,-57.637 ,-1.681 ,58.30 ,thin ,F5V ,6.45 ,0.457 ,-19.30 ,16.00 ,-12.60 ,6368.8 ,3.93 ,1.31 ,2.17 ,,,,,,
HIP 19773 ,-0.48 ,,,-0.42 ,-0.52 ,-0.32 ,-0.59 ,-0.48 ,-0.39 ,-0.29 ,-0.40 ,,-0.55 ,-0.68 ,-0.26 ,-0.56 ,-0.63 ,63.5917745 ,-64.9676946 ,13.359 ,26.901 ,-64.317 ,70.98 ,thin ,F8Vm-2 ,8.06 ,0.501 ,29.30 ,-0.90 ,2.70 ,6453.0 ,4.25 ,1.30 ,1.26 ,,,,,,
