star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
2MASS 19511083+4025037,b,0.13,,0.08,0.03,0.09,0.11,0.03,0.1,0.14,,0.07,0.12,0.14,0.04,,0.15,0.18,297.7951049,40.417686,204.343,-387.652,373.181,575.58,N/A,,,,,,,5523.0,4.47,0.97,0.95,,,Gaia DR2 2073691303802278784,TIC 169930145,Transit,,,,,,,,,,,,,,,,0.253,0.024,-0.018,
2MASS 19511083+4025037,c,0.13,,0.08,0.03,0.09,0.11,0.03,0.1,0.14,,0.07,0.12,0.14,0.04,,0.15,0.18,297.7951049,40.417686,204.343,-387.652,373.181,575.58,N/A,,,,,,,5523.0,4.47,0.97,0.95,,,Gaia DR2 2073691303802278784,TIC 169930145,Transit,13.0729,0.0012,-0.0012,,,,,,,,,,0.01145,0.00205,-0.00182,0.196,0.006,-0.006,
2MASS 19031186+4248424,b,-0.09,,-0.08,0.03,-0.28,-0.1,-0.17,-0.12,-0.05,,-0.09,-0.07,-0.1,-0.35,,-0.1,-0.21,285.7994537,42.8117741,286.056,-1010.937,973.294,1432.17,N/A,,,,,,,5787.0,4.26,1.04,1.25,,,Gaia DR2 2105535462635217792,TIC 279915745,Transit,11.0317307,0.0001636,-0.0001636,0.1003,,,,,,88.24,,,,,,,,,16.56
2MASS 19031186+4248424,c,-0.09,,-0.08,0.03,-0.28,-0.1,-0.17,-0.12,-0.05,,-0.09,-0.07,-0.1,-0.35,,-0.1,-0.21,285.7994537,42.8117741,286.056,-1010.937,973.294,1432.17,N/A,,,,,,,5787.0,4.26,1.04,1.25,,,Gaia DR2 2105535462635217792,TIC 279915745,Transit,25.7624524,0.000151,-0.000151,,,,,,,,,,,,,0.238,0.037,-0.021,
2MASS 18561467+4530246,b,,,-0.05,-0.05,-0.27,-0.11,-0.18,,0.04,,-0.03,,-0.02,-0.16,,-0.09,0.12,284.0611272,45.5068466,43.129,-172.196,180.684,253.29,N/A,,,,,,,5411.4,4.58,0.94,0.82,,,Gaia DR2 2106821925598401152,TIC 164654277,Transit,5.83598311,4.66e-06,-4.66e-06,0.0621,,,,,,89.95,,,,,,,,,22.055
HIP 58451,b,0.02,,0.15,0.05,0.12,0.05,0.08,0.08,0.08,0.25,0.14,0.26,0.08,-0.02,0.1,0.08,0.04,179.7917028,-20.3537805,-19.092,0.069,-7.083,20.36,thin,K3-V(k),7.92,0.974,34.2,-26.9,-18.1,4937.7,4.49,0.81,0.76,,,Gaia DR2 3494677900774838144,TIC 428673146,Radial Velocity,55.806,0.049,-0.049,0.26,,,,,,,,,0.16,0.02,-0.02,,,,
2MASS 20242972+1645437,b,0.22,,0.15,0.12,0.03,0.15,0.09,0.16,0.26,,0.23,0.33,0.24,0.08,,0.2,0.25,306.1238479,16.7621695,205.931,-282.155,105.212,364.81,N/A,,11.94,,,,,5904.5,4.3,1.08,1.15,,,Gaia DR2 1808938730710633984,TIC 305243225,Transit,1.2128864,8e-08,-8e-08,,,,,,,,,,,,,,,,
2MASS 19330772+4817092,b,0.08,,-0.16,-0.16,-0.15,-0.01,-0.04,-0.14,0.03,,0.01,-0.01,0.04,0.04,,0.07,0.16,293.2822051,48.2858737,223.04,-518.337,633.028,848.02,N/A,,,,,,,4982.0,,,3.97,,,Gaia DR2 2128901871432519936,TIC 26817004,Transit,,,,,,,,,,,,,,,,1.067,0.056,-0.05,
2MASS 19330772+4817092,c,0.08,,-0.16,-0.16,-0.15,-0.01,-0.04,-0.14,0.03,,0.01,-0.01,0.04,0.04,,0.07,0.16,293.2822051,48.2858737,223.04,-518.337,633.028,848.02,N/A,,,,,,,4982.0,,,3.97,,,Gaia DR2 2128901871432519936,TIC 26817004,Radial Velocity,406.2,3.9,-2.5,,,,0.498,0.029,-0.059,,,,2.43,0.22,-0.24,,,,
HIP 91258,b,0.27,,,,0.33,0.26,0.26,0.26,0.21,0.3,0.32,0.16,0.25,0.29,0.31,0.29,,279.2214759,61.7025043,3.486,-21.47,40.401,45.88,N/A,G5,8.65,0.815,,,,5519.0,4.53,0.97,0.89,,,Gaia DR2 2159653734187847168,TIC 383675945,Radial Velocity,5.0505,0.0015,-0.0015,0.06,,,0.02,0.01,-0.01,,,,1.09,0.21,-0.21,,,,
2MASS 19023742+4504464,b,-0.43,,-0.33,-0.17,-0.58,-0.36,-0.43,-0.39,-0.42,,-0.37,-0.32,-0.46,-0.72,,-0.43,-0.55,285.6559376,45.0795469,97.897,-349.311,363.779,513.75,N/A,,,,,,,5953.0,4.57,1.09,0.89,,,Gaia DR2 2106384010732717184,TIC 352012975,Transit,29.90721859,5.371e-05,-5.371e-05,0.1805,,,,,,89.97,,,,,,,,,48.16
2MASS 19422610+3844086,b,0.24,,-0.14,0.11,-0.22,0.08,-0.8,0.03,0.3,,0.14,0.11,0.22,-0.16,,0.08,0.45,295.6087869,38.7357428,231.655,-483.312,429.935,687.09,N/A,,,,,,,6731.0,4.06,1.43,1.84,,,Gaia DR2 2073155184495069184,TIC 184085929,Transit,24.85463056,1.379e-05,-1.379e-05,,,,,,,,,,,,,,,,
2MASS 11370392-0054262,b,-0.31,,-0.23,-0.26,-0.44,-0.31,-0.4,-0.3,-0.27,,-0.23,,-0.32,-0.75,,-0.43,-0.39,174.2663394,-0.9072693,-446.934,44.875,-7.113,449.24,N/A,,,,,,,6200.0,4.22,1.19,1.41,,,Gaia DR2 3794162976731206272,TIC 49430892,Transit,19.15454,0.002849,-0.002764,,,,,,,88.649,0.976,-1.741,,,,0.22,0.031,-0.027,18.822359
HIP 91388,b,-0.3,,,-0.2,,-0.25,-0.26,,-0.28,,-0.3,,,,,,,279.584243,59.2538598,44.215,-261.855,446.438,519.45,N/A,K7,8.79,1.015,,,,4769.0,2.37,,14.68,,,Gaia DR2 2154807121292791040,TIC 359558085,Radial Velocity,4100.0,210.0,-210.0,5.7,0.9,-0.9,0.56,0.07,-0.05,,,,6.0,2.7,-2.7,,,,
2MASS 19312537+4623282,b,0.03,,0.02,-0.01,-0.07,0.03,0.07,0.08,0.04,,0.05,0.16,0.02,-0.21,,0.05,0.1,292.8557315,46.3911721,203.27,-482.246,549.387,758.75,N/A,,,,,,,5616.0,4.42,0.99,1.02,,,Gaia DR2 2128273225659492608,TIC 63452790,Transit,2.68432848,8e-08,-8e-08,0.0378,,,,,,89.38,,,,,,,,,8.601
