star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
HIP 3479,b,-0.22,,-0.18,-0.21,-0.28,-0.1,-0.17,-0.22,-0.21,-0.12,-0.14,-0.28,-0.25,-0.4,-0.17,-0.26,-0.24,11.1110447,-26.5156828,30.023,5.896,-15.266,34.19,thin,G7VFe-1CH-0.5,7.79,0.664,-52.1,-4.9,-57.8,5629.4,4.46,1.0,0.93,,,Gaia DR2 2343647384368388608,TIC 43400838,Radial Velocity,832.97,2.15,-1.89,1.662,0.015,-0.015,0.042,0.039,-0.029,,,,0.81,0.014,-0.015,,,,
HIP 3497,b,-0.3,-2.24,-0.12,-0.03,-0.2,-0.05,-0.07,-0.15,-0.14,-0.12,-0.06,-0.23,-0.29,-0.6,-0.18,-0.27,-0.34,11.1636147,-65.6495228,8.906,1.758,-20.057,22.02,thick,G6VFe-0.9,6.55,0.655,50.5,-110.0,-26.6,5686.8,4.39,1.01,1.05,,,Gaia DR2 4708607629114652032,TIC 234501204,Radial Velocity,15.56,0.02,-0.02,0.115,,,,0.01,-0.01,,,,0.0442,,,,,,
2MASS 16134824-2447132,b,-0.09,,-0.09,-0.06,-0.25,-0.08,-0.19,-0.09,-0.06,,-0.08,-0.07,-0.06,-0.25,,-0.1,0.01,243.4510187,-24.7870633,-73.018,-146.139,-75.441,179.94,N/A,,,,,,,4927.0,4.48,0.81,0.86,,,Gaia DR2 6049595065740634624,TIC 68504570,Transit,4.4436649,,,,,,,,,,,,,,,0.134,,,
2MASS 16134824-2447132,c,-0.09,,-0.09,-0.06,-0.25,-0.08,-0.19,-0.09,-0.06,,-0.08,-0.07,-0.06,-0.25,,-0.1,0.01,243.4510187,-24.7870633,-73.018,-146.139,-75.441,179.94,N/A,,,,,,,4927.0,4.48,0.81,0.86,,,Gaia DR2 6049595065740634624,TIC 68504570,Transit,6.4295023,,,,,,,,,,,,,,,0.223,,,
2MASS 16134824-2447132,d,-0.09,,-0.09,-0.06,-0.25,-0.08,-0.19,-0.09,-0.06,,-0.08,-0.07,-0.06,-0.25,,-0.1,0.01,243.4510187,-24.7870633,-73.018,-146.139,-75.441,179.94,N/A,,,,,,,4927.0,4.48,0.81,0.86,,,Gaia DR2 6049595065740634624,TIC 68504570,Transit,14.0919,0.0015,-0.0015,0.1102,0.0016,-0.0016,,,,,,,,,,0.231,0.022,-0.022,
HIP 3502,b,0.42,,0.4,0.15,0.43,0.38,0.42,0.39,0.35,0.52,0.41,0.36,0.38,0.43,0.56,0.44,0.26,11.1716678,20.4489272,74.806,14.774,28.432,81.38,thin,G5,8.69,0.771,-15.7,-58.1,-24.8,5596.3,4.23,0.99,1.5,,,Gaia DR2 2801366000472903040,TIC 434225151,Radial Velocity,437.05,0.27,-0.27,1.1735,0.0222,-0.0222,0.52,0.02,-0.02,,,,1.82,0.05,-0.05,,,,
HIP 3502,c,0.42,,0.4,0.15,0.43,0.38,0.42,0.39,0.35,0.52,0.41,0.36,0.38,0.43,0.56,0.44,0.26,11.1716678,20.4489272,74.806,14.774,28.432,81.38,thin,G5,8.69,0.771,-15.7,-58.1,-24.8,5596.3,4.23,0.99,1.5,,,Gaia DR2 2801366000472903040,TIC 434225151,Radial Velocity,6700.0,4500.0,-4500.0,6.95,1.93,-0.56,0.24,0.13,-0.13,,,,2.17,0.52,-0.52,,,,
2MASS 13552567-2112276,b,0.2,,0.22,0.14,0.31,0.19,0.15,0.19,0.22,,0.16,0.23,0.18,0.16,,0.25,0.09,208.8569456,-21.2077007,-196.54,-108.303,-87.076,240.71,N/A,,,,,,,4964.9,4.57,0.82,0.78,,,Gaia DR2 6288858347945925504,TIC 220029715,Transit,3.185315,5.4e-06,-5.4e-06,0.04012,0.00043,-0.00044,0.12,,,87.92,0.75,-0.75,0.123,0.014,-0.014,0.563,0.046,-0.034,
2MASS 19010446+4833360,b,0.02,,-0.12,-0.15,-0.27,-0.1,-0.26,-0.05,0.08,,-0.04,-0.02,,-0.21,,-0.11,0.11,285.2685656,48.5599846,46.717,-171.137,200.937,268.04,N/A,,,,,,,5461.5,4.51,0.95,0.9,,,Gaia DR2 2131587531660567296,TIC 48506505,Transit,7.79430132,1.82e-06,-1.82e-06,0.0704,,,,,,88.24,,,,,,,,,34.2
2MASS 18494152+4600504,b,0.28,,0.15,0.08,0.2,0.27,0.28,0.32,0.32,,0.33,0.22,0.2,0.66,,0.35,0.2,282.4230322,46.0140083,68.05,-308.916,327.722,455.48,N/A,,,,,,,4735.0,4.5,0.76,0.81,,,Gaia DR2 2107084399639196544,TIC 123448077,Transit,62.8691611,0.0009586,-0.0009586,0.2901,,,,,,89.95,,,,,,,,,83.8
2MASS 19423569+4829440,b,-0.04,,-0.03,-0.07,-0.13,-0.06,-0.03,-0.12,0.03,,0.06,0.17,0.02,-0.18,,-0.08,0.05,295.6486767,48.4955538,109.909,-228.899,286.958,383.17,N/A,,,,,,,,,,,,,Gaia DR2 2134719834131370496,TIC 27644083,Transit,51.07926307,6.345e-05,-6.345e-05,,,,,,,,,,,,,0.254,0.02,-0.015,
2MASS 19423569+4829440,c,-0.04,,-0.03,-0.07,-0.13,-0.06,-0.03,-0.12,0.03,,0.06,0.17,0.02,-0.18,,-0.08,0.05,295.6486767,48.4955538,109.909,-228.899,286.958,383.17,N/A,,,,,,,,,,,,,Gaia DR2 2134719834131370496,TIC 27644083,Transit,3.70921385,6.32e-06,-6.32e-06,0.046,,,,,,88.81,,,,,,,,,10.981
2MASS 19123695+4404077,b,0.34,,0.2,0.47,0.23,0.3,0.26,0.39,0.31,,0.38,0.32,0.34,0.23,,0.33,0.24,288.1539975,44.0688266,143.104,-436.434,444.605,639.24,N/A,,,,,,,6373.7,4.06,1.27,1.74,,,Gaia DR2 2103117666624517888,TIC 158657354,Transit,38.5833679,0.0003134,-0.0003134,0.2551,,,,,,85.76,,,,,,,,,12.24
HIP 3574,b,0.25,,-0.04,0.02,0.1,0.12,0.06,0.07,0.13,0.16,0.14,0.18,0.12,0.22,0.26,0.16,0.3,11.4181565,7.8450201,132.36,26.732,18.605,136.31,thin,G5,7.82,0.963,-3.2,12.0,-9.3,5005.0,3.45,,5.34,,,Gaia DR2 2557541493057378048,TIC 405228516,Radial Velocity,356.0,2.6,-2.6,1.19,0.03,-0.03,0.041,0.037,-0.037,,,,2.3,0.2,-0.2,,,,
2MASS 19303802+3820434,b,0.05,,-0.04,-0.14,-0.03,0.02,0.05,0.08,0.08,,0.06,0.05,-0.03,-0.09,,0.09,-0.31,292.6584425,38.3453991,103.303,-247.457,212.12,341.91,N/A,,,,,,,4826.7,4.57,0.78,0.76,,,Gaia DR2 2051933102555095936,TIC 137686948,Transit,4.39315983,1.79e-06,-1.79e-06,,,,,,,,,,,,,,,,
2MASS 19303802+3820434,c,0.05,,-0.04,-0.14,-0.03,0.02,0.05,0.08,0.08,,0.06,0.05,-0.03,-0.09,,0.09,-0.31,292.6584425,38.3453991,103.303,-247.457,212.12,341.91,N/A,,,,,,,4826.7,4.57,0.78,0.76,,,Gaia DR2 2051933102555095936,TIC 137686948,Transit,7.40610775,1.527e-05,-1.527e-05,0.0683,,,,,,87.66,,,,,,,,,15.29
2MASS 19303802+3820434,d,0.05,,-0.04,-0.14,-0.03,0.02,0.05,0.08,0.08,,0.06,0.05,-0.03,-0.09,,0.09,-0.31,292.6584425,38.3453991,103.303,-247.457,212.12,341.91,N/A,,,,,,,4826.7,4.57,0.78,0.76,,,Gaia DR2 2051933102555095936,TIC 137686948,Transit,21.803708,0.0001361,-0.0001361,,,,,,,,,,,,,,,,
2MASS 19303802+3820434,e,0.05,,-0.04,-0.14,-0.03,0.02,0.05,0.08,0.08,,0.06,0.05,-0.03,-0.09,,0.09,-0.31,292.6584425,38.3453991,103.303,-247.457,212.12,341.91,N/A,,,,,,,4826.7,4.57,0.78,0.76,,,Gaia DR2 2051933102555095936,TIC 137686948,Transit,1071.23205,0.00059,-0.00058,1.883,0.027,-0.027,0.29,,,89.972,0.007,-0.008,1.01,0.16,-0.15,0.906,0.037,-0.037,
HIP 101948,b,-0.13,-0.78,,,,,,,,,,,,,,,,309.887334,42.2485482,15.757,-18.854,22.318,33.19,thin,F7V,6.81,0.507,33.5,3.7,-13.0,6137.3,4.37,1.16,1.16,,,Gaia DR2 2066437688140905600,TIC 195382102,Radial Velocity,1035.7,13.0,-13.0,2.07,0.05,-0.05,0.22,0.07,-0.07,,,,0.79,0.05,-0.05,,,,
2MASS 19405434+5033323,b,-0.4,,-0.28,-0.26,-0.52,-0.37,-0.57,-0.34,-0.35,,-0.27,-0.15,-0.41,-0.75,,-0.44,-0.49,295.2264167,50.559006,89.505,-189.98,255.296,330.57,N/A,,,,,,,5963.5,4.31,1.09,1.21,,,Gaia DR2 2135179533070399232,TIC 27397848,Transit,5.59931973,1.293e-05,-1.293e-05,0.0601,,,,,,89.95,,,,,,,,,11.518
2MASS 19405434+5033323,c,-0.4,,-0.28,-0.26,-0.52,-0.37,-0.57,-0.34,-0.35,,-0.27,-0.15,-0.41,-0.75,,-0.44,-0.49,295.2264167,50.559006,89.505,-189.98,255.296,330.57,N/A,,,,,,,5963.5,4.31,1.09,1.21,,,Gaia DR2 2135179533070399232,TIC 27397848,Transit,10.34971385,2.991e-05,-2.991e-05,,,,,,,,,,,,,0.114,0.004,-0.004,
2MASS 19405434+5033323,d,-0.4,,-0.28,-0.26,-0.52,-0.37,-0.57,-0.34,-0.35,,-0.27,-0.15,-0.41,-0.75,,-0.44,-0.49,295.2264167,50.559006,89.505,-189.98,255.296,330.57,N/A,,,,,,,5963.5,4.31,1.09,1.21,,,Gaia DR2 2135179533070399232,TIC 27397848,Transit,15.67756112,6.216e-05,-6.216e-05,,,,,,,,,,,,,0.103,0.004,-0.004,
2MASS 19405434+5033323,e,-0.4,,-0.28,-0.26,-0.52,-0.37,-0.57,-0.34,-0.35,,-0.27,-0.15,-0.41,-0.75,,-0.44,-0.49,295.2264167,50.559006,89.505,-189.98,255.296,330.57,N/A,,,,,,,5963.5,4.31,1.09,1.21,,,Gaia DR2 2135179533070399232,TIC 27397848,Transit,25.2100146,0.0002037,-0.0002037,0.1626,,,,,,87.69,,,,,,,,,19.11
2MASS 13442258+4801432,b,0.34,,0.33,0.24,0.46,0.29,0.29,0.31,0.33,,0.28,0.31,0.32,0.31,,0.39,0.13,206.0941413,48.0286684,-80.812,-39.579,100.038,134.55,N/A,,11.86,,,,,5224.0,4.58,0.89,0.82,,,Gaia DR2 1510191594552968832,TIC 311035838,Transit,2.899703,5.4e-05,-5.4e-05,0.03894,0.0007,-0.0007,,,,87.24,0.69,-0.69,0.599,0.026,-0.026,0.89,0.046,-0.046,10.59
2MASS 17202788+3814317,b,0.06,,-0.28,0.2,-0.2,-0.04,-0.32,0.03,0.16,,0.12,-0.01,0.05,-0.36,,-0.09,0.19,260.1161596,38.2421971,-30.018,-172.284,137.825,222.66,N/A,,9.99,,,,,6758.0,4.43,1.43,1.55,,,Gaia DR2 1340497608486742400,TIC 101721385,Transit,4.627682,3e-06,-3e-06,,,,,,,84.21,0.16,-0.16,,,,,,,
2MASS 19364851+4039482,b,0.15,,0.01,-0.05,-0.04,0.13,0.07,0.14,0.14,,0.12,0.16,0.13,-0.02,,0.16,-0.01,294.2021161,40.6634092,201.544,-448.412,422.317,648.11,N/A,,,,,,,4819.0,4.49,0.78,0.83,,,Gaia DR2 2077298148611950976,TIC 138641300,Transit,11.76305946,2.035e-05,-2.035e-05,0.0939,,,,,,89.95,,,,,,,,,31.87
2MASS 19364851+4039482,c,0.15,,0.01,-0.05,-0.04,0.13,0.07,0.14,0.14,,0.12,0.16,0.13,-0.02,,0.16,-0.01,294.2021161,40.6634092,201.544,-448.412,422.317,648.11,N/A,,,,,,,4819.0,4.49,0.78,0.83,,,Gaia DR2 2077298148611950976,TIC 138641300,Transit,56.2279697,0.0003034,-0.0003034,0.2665,,,,,,89.95,,,,,,,,,129.92
HIP 3834,b,0.09,-2.83,-0.11,-0.01,0.09,0.16,0.11,0.12,0.1,0.02,0.14,0.11,0.07,0.06,0.11,0.08,0.17,12.3081268,-24.1366647,48.845,10.657,-22.402,54.78,thin,K0III,5.9,0.944,-11.6,-24.1,-23.9,4989.0,3.46,,4.93,,,Gaia DR2 2345744256120965504,TIC 63905972,Radial Velocity,360.2,1.4,-1.4,1.19,0.05,-0.05,0.13,0.06,-0.06,,,,2.37,0.34,-0.34,,,,
HIP 3834,c,0.09,-2.83,-0.11,-0.01,0.09,0.16,0.11,0.12,0.1,0.02,0.14,0.11,0.07,0.06,0.11,0.08,0.17,12.3081268,-24.1366647,48.845,10.657,-22.402,54.78,thin,K0III,5.9,0.944,-11.6,-24.1,-23.9,4989.0,3.46,,4.93,,,Gaia DR2 2345744256120965504,TIC 63905972,Radial Velocity,2732.0,81.0,-81.0,4.6,0.23,-0.23,0.23,0.07,-0.07,,,,2.37,0.38,-0.38,,,,
HIP 36616,b,0.17,-3.3,0.02,0.18,0.36,0.2,0.32,0.33,0.1,0.12,0.22,0.33,0.12,0.37,0.29,0.22,0.18,112.951684,17.0860471,-33.276,78.577,26.229,89.27,thin,K2III,5.45,1.126,44.2,-24.5,-5.9,4694.2,2.71,,12.25,,,Gaia DR2 3169225963647395712,TIC 247119634,Radial Velocity,299.36,0.26,-0.31,1.086,0.0006,-0.0007,0.05,0.03,-0.02,,,,6.92,0.18,-0.24,,,,
2MASS 18442696+4313400,b,-0.06,,-0.09,0.07,-0.2,-0.09,-0.18,-0.04,0.01,,-0.02,-0.1,-0.07,-0.37,,-0.09,-0.09,281.1123427,43.2277889,68.327,-347.868,333.236,486.55,N/A,,,,,,,6013.7,4.06,1.11,1.64,,,Gaia DR2 2116862833283266432,TIC 123231081,Transit,6.80252171,7.931e-05,-7.931e-05,0.0725,,,,,,88.24,,,,,,,,,10.8
2MASS 18442696+4313400,c,-0.06,,-0.09,0.07,-0.2,-0.09,-0.18,-0.04,0.01,,-0.02,-0.1,-0.07,-0.37,,-0.09,-0.09,281.1123427,43.2277889,68.327,-347.868,333.236,486.55,N/A,,,,,,,6013.7,4.06,1.11,1.64,,,Gaia DR2 2116862833283266432,TIC 123231081,Transit,8.70337044,9.645e-05,-9.645e-05,0.0855,,,,,,89.38,,,,,,,,,13.51
2MASS 18442696+4313400,d,-0.06,,-0.09,0.07,-0.2,-0.09,-0.18,-0.04,0.01,,-0.02,-0.1,-0.07,-0.37,,-0.09,-0.09,281.1123427,43.2277889,68.327,-347.868,333.236,486.55,N/A,,,,,,,6013.7,4.06,1.11,1.64,,,Gaia DR2 2116862833283266432,TIC 123231081,Transit,,,,,,,,,,,,,,,,0.117,0.005,-0.024,
HIP 3869,b,-0.96,,,-0.46,,-0.34,-0.56,,-0.85,,-0.61,,,,,,,12.4162576,6.4071419,522.012,114.927,60.023,537.87,N/A,K2,7.49,1.428,,,,4076.0,1.62,,49.76,,,Gaia DR2 2556428551067486720,TIC 405337087,Radial Velocity,434.0,3.0,-3.0,1.14,0.08,-0.08,0.23,0.09,-0.06,,,,13.9,2.4,-2.4,,,,
2MASS 19220251+4114413,b,-0.08,,-0.17,-0.19,-0.2,-0.08,-0.09,-0.1,-0.04,,-0.1,-0.24,-0.06,-0.43,,-0.14,-0.32,290.5104983,41.2448038,337.283,-901.6,844.043,1280.25,N/A,,,,,,,5963.0,4.53,1.09,0.94,,,Gaia DR2 2101776885215761152,TIC 122445076,Transit,6.846262,6.3e-05,-6.3e-05,0.069,,,,,,,,,,,,0.166,0.04,-0.04,
2MASS 19220251+4114413,c,-0.08,,-0.17,-0.19,-0.2,-0.08,-0.09,-0.1,-0.04,,-0.1,-0.24,-0.06,-0.43,,-0.14,-0.32,290.5104983,41.2448038,337.283,-901.6,844.043,1280.25,N/A,,,,,,,5963.0,4.53,1.09,0.94,,,Gaia DR2 2101776885215761152,TIC 122445076,Transit,17.02902105,6.975e-05,-6.975e-05,0.1315,,,,,,89.95,,,,,,,,,28.39
2MASS 19220251+4114413,d,-0.08,,-0.17,-0.19,-0.2,-0.08,-0.09,-0.1,-0.04,,-0.1,-0.24,-0.06,-0.43,,-0.14,-0.32,290.5104983,41.2448038,337.283,-901.6,844.043,1280.25,N/A,,,,,,,5963.0,4.53,1.09,0.94,,,Gaia DR2 2101776885215761152,TIC 122445076,Transit,43.1308082,0.000369,-0.000369,0.2444,,,,,,89.95,,,,,,,,,108.8
2MASS 19220251+4114413,e,-0.08,,-0.17,-0.19,-0.2,-0.08,-0.09,-0.1,-0.04,,-0.1,-0.24,-0.06,-0.43,,-0.14,-0.32,290.5104983,41.2448038,337.283,-901.6,844.043,1280.25,N/A,,,,,,,5963.0,4.53,1.09,0.94,,,Gaia DR2 2101776885215761152,TIC 122445076,Transit,67.8321638,0.0009119,-0.0009119,,,,,,,,,,,,,,,,
HIP 98959,b,-0.22,-2.48,-0.1,-0.16,-0.22,-0.09,-0.16,-0.17,-0.14,-0.1,-0.1,-0.24,-0.24,-0.45,-0.19,-0.24,-0.27,301.3865216,-67.3208968,3.596,-5.894,-16.521,17.91,thin,G2V,6.07,0.648,-69.6,-31.7,-49.8,5721.7,4.38,1.02,1.03,,,Gaia DR2 6427244702486210816,TIC 352402781,Radial Velocity,14.288,0.002,-0.002,0.111,0.002,-0.002,0.189,,,,,,0.02674,0.00189,-0.00189,,,,
HIP 98959,c,-0.22,-2.48,-0.1,-0.16,-0.22,-0.09,-0.16,-0.17,-0.14,-0.1,-0.1,-0.24,-0.24,-0.45,-0.19,-0.24,-0.27,301.3865216,-67.3208968,3.596,-5.894,-16.521,17.91,thin,G2V,6.07,0.648,-69.6,-31.7,-49.8,5721.7,4.38,1.02,1.03,,,Gaia DR2 6427244702486210816,TIC 352402781,Radial Velocity,33.688,0.025,-0.025,0.197,0.003,-0.003,0.16,0.09,-0.09,,,,0.02202,0.00283,-0.00283,,,,
2MASS 23041801-2116189,b,0.14,,0.14,0.11,0.17,0.14,-0.05,0.15,0.11,,0.13,0.06,0.15,0.04,,0.21,0.04,346.0750927,-21.2719302,673.945,-167.095,-270.324,745.12,N/A,,,,,,,5667.0,4.43,1.01,1.01,,,Gaia DR2 2398227794405981568,TIC 204317710,Transit,2.8126535,3.7e-06,-3.7e-06,,,,,,,,,,,,,,,,7.95
HIP 66192,b,0.21,-0.7,0.31,0.3,0.26,0.24,0.25,0.22,0.22,0.22,0.22,0.12,0.19,0.19,0.23,0.26,0.23,203.510581,53.7285273,-50.05,-21.774,74.381,92.26,thin,K0,8.06,0.699,-3.8,-56.3,-5.6,5864.0,4.08,1.05,2.05,,,Gaia DR2 1560420854826284928,TIC 286923464,Radial Velocity,6.1349783,1.65e-05,-1.65e-05,,,,,,,,,,,,,1.172,0.068,-0.068,
2MASS 19201451+4709502,b,0.01,,-0.05,-0.07,-0.23,-0.04,-0.01,-0.06,0.04,,0.02,-0.04,-0.01,-0.21,,-0.01,-0.03,290.0604891,47.1639429,158.114,-432.991,497.16,677.98,N/A,,,,,,,5694.4,3.94,1.01,1.79,,,Gaia DR2 2127851116271982848,TIC 159226052,Transit,3.29276965,1.078e-05,-1.078e-05,0.043,,,,,,86.52,,,,,,,,,5.13
2MASS 19201451+4709502,c,0.01,,-0.05,-0.07,-0.23,-0.04,-0.01,-0.06,0.04,,0.02,-0.04,-0.01,-0.21,,-0.01,-0.03,290.0604891,47.1639429,158.114,-432.991,497.16,677.98,N/A,,,,,,,5694.4,3.94,1.01,1.79,,,Gaia DR2 2127851116271982848,TIC 159226052,Transit,9.69315566,3.013e-05,-3.013e-05,0.0882,,,,,,86.52,,,,,,,,,10.63
B-15 03672,b,0.09,,0.17,0.02,-0.03,0.05,0.04,0.11,0.11,0.04,0.07,0.06,0.13,-0.06,0.2,0.12,0.22,202.0166314,-15.9378195,-100.843,-40.777,-31.063,113.12,N/A,,,,,,,5673.0,4.46,1.01,0.98,,,Gaia DR2 3604866381969319040,TIC 404421005,Transit,6.32668004,3.581e-05,-3.581e-05,,,,,,,,,,,,,0.204,0.202,-0.202,
2MASS 18542102+4034297,b,-0.2,,-0.05,-0.01,-0.31,-0.13,-0.28,-0.24,-0.18,,-0.14,-0.15,-0.16,-0.3,,-0.19,-0.18,283.5876107,40.5749389,83.259,-344.479,303.487,466.59,N/A,,,,,,,5068.0,4.58,0.85,0.78,,,Gaia DR2 2103579397088495616,TIC 237191392,Transit,0.53991524,1.35e-06,-1.35e-06,,,,,,,,,,,,,0.07,0.007,-0.004,
HIP 3975,b,0.24,,,0.03,0.12,0.07,0.05,-0.03,0.17,,0.11,0.06,0.18,0.25,,0.26,0.41,12.7761563,-12.9276029,194.17,44.029,-45.701,204.28,thin,K0III/IV,8.03,1.046,-4.7,-17.6,8.7,4802.0,,,7.91,,,Gaia DR2 2376225982619175424,TIC 77481104,Radial Velocity,400.5,1.7,-1.7,1.167,0.065,-0.065,0.066,0.041,-0.041,,,,1.615,0.092,-0.092,,,,
2MASS 19395491+4600203,b,0.29,,0.23,0.11,0.25,0.24,0.25,0.24,0.31,,0.23,0.29,0.29,0.22,,0.32,0.15,294.9788364,46.0056524,106.362,-228.314,260.874,362.62,N/A,,,,,,,5267.0,4.33,0.9,1.07,,,Gaia DR2 2080070975195117312,TIC 271353794,Transit,0.6938521,8.9e-06,-8.9e-06,0.014,,,,,,73.34,,,,,,,,,2.42
HIP 36795,b,-0.09,-1.64,-0.04,0.14,-0.12,-0.09,-0.2,-0.09,-0.03,-0.08,-0.11,-0.32,-0.23,-0.4,-0.11,-0.19,0.08,113.513251,-22.2960662,-9.587,22.035,-9.853,25.97,thin,F6IV-V,4.39,0.521,-38.6,-47.2,-2.7,6218.6,3.91,1.2,2.63,,,Gaia DR2 5619121248264726272,TIC 456871289,Radial Velocity,201.9,0.3,-0.3,0.77,0.02,-0.02,0.26,0.02,-0.02,,,,1.06,0.08,-0.08,,,,
HIP 36795,c,-0.09,-1.64,-0.04,0.14,-0.12,-0.09,-0.2,-0.09,-0.03,-0.08,-0.11,-0.32,-0.23,-0.4,-0.11,-0.19,0.08,113.513251,-22.2960662,-9.587,22.035,-9.853,25.97,thin,F6IV-V,4.39,0.521,-38.6,-47.2,-2.7,6218.6,3.91,1.2,2.63,,,Gaia DR2 5619121248264726272,TIC 456871289,Radial Velocity,600.1,2.4,-2.4,1.6,0.04,-0.04,0.03,0.02,-0.02,,,,2.51,0.16,-0.16,,,,
HIP 102409,b,0.32,,0.11,,0.09,-0.19,0.16,-0.26,-0.14,-0.48,0.18,0.11,0.21,-0.44,-0.08,-0.37,,311.2897182,-31.3409004,5.479,-6.239,-5.057,9.72,thin,M1Ve,8.63,1.47,-10.1,-16.4,-10.4,3642.0,4.57,0.66,0.7,,,Gaia DR2 6794047652729201024,TIC 441420236,Transit,8.4630004,5.8e-06,-6e-06,0.0644,0.0056,-0.0054,0.12,0.16,-0.08,89.18,0.53,-0.45,,,,0.374,0.021,-0.02,18.5
HIP 102409,c,0.32,,0.11,,0.09,-0.19,0.16,-0.26,-0.14,-0.48,0.18,0.11,0.21,-0.44,-0.08,-0.37,,311.2897182,-31.3409004,5.479,-6.239,-5.057,9.72,thin,M1Ve,8.63,1.47,-10.1,-16.4,-10.4,3642.0,4.57,0.66,0.7,,,Gaia DR2 6794047652729201024,TIC 441420236,Transit,18.858991,,,0.1101,0.002,-0.002,,,,,,,0.0302,0.00651,-0.00727,,,,
2MASS 19583851+4611543,b,0.08,,-0.01,0.14,-0.11,-0.03,-0.42,-0.01,0.06,,0.13,0.21,0.1,-0.21,,0.03,0.17,299.6604802,46.1984317,186.697,-327.84,393.394,545.06,N/A,,,,,,,6106.6,4.06,1.15,1.66,,,Gaia DR2 2085286890863482752,TIC 269032792,Transit,5.99185702,8.17e-06,-8.17e-06,0.066,,,,,,89.38,,,,,,,,,28.2
HIP 36941,b,-0.1,-0.67,-0.08,-0.06,-0.11,0.13,-0.19,-0.08,-0.06,0.05,-0.06,-0.11,-0.12,-0.29,-0.12,-0.14,-0.05,113.9073935,-75.5442321,-5.373,12.121,-51.43,53.11,thin,F7V,7.31,0.539,-0.8,-21.4,-41.6,6206.3,4.47,1.19,1.44,,,Gaia DR2 5214209564293214208,TIC 271972463,Radial Velocity,27399.80246717,3572.02776093,-1614.42398862,18.992328,1.488619,-1.198456,0.863248,0.012365,-0.008096,66.463,2.346,-2.345,17.42688,1.62879,-1.65529,,,,
HIP 36941,c,-0.1,-0.67,-0.08,-0.06,-0.11,0.13,-0.19,-0.08,-0.06,0.05,-0.06,-0.11,-0.12,-0.29,-0.12,-0.14,-0.05,113.9073935,-75.5442321,-5.373,12.121,-51.43,53.11,thin,F7V,7.31,0.539,-0.8,-21.4,-41.6,6206.3,4.47,1.19,1.44,,,Gaia DR2 5214209564293214208,TIC 271972463,Radial Velocity,74839.94554588,8275.85573349,-6864.79047325,36.876426,3.064046,-2.685808,0.772792,0.009264,-0.009259,38.789,4.169,-3.601,24.80132,2.80984,-2.7934,,,,
2MASS 20032735+4420151,b,-0.1,,-0.06,-0.15,-0.24,-0.09,-0.2,-0.12,-0.06,,-0.09,,-0.12,-0.35,,-0.11,-0.12,300.8639583,44.337553,163.029,-272.791,310.53,444.32,N/A,,12.98,,,,,5861.5,4.41,1.07,1.06,,,Gaia DR2 2082074942519913344,TIC 184997417,Transit,6.16491696,4.865e-05,-4.865e-05,0.0646,,,,,,87.66,,,,,,,,,12.42
2MASS 20032735+4420151,c,-0.1,,-0.06,-0.15,-0.24,-0.09,-0.2,-0.12,-0.06,,-0.09,,-0.12,-0.35,,-0.11,-0.12,300.8639583,44.337553,163.029,-272.791,310.53,444.32,N/A,,12.98,,,,,5861.5,4.41,1.07,1.06,,,Gaia DR2 2082074942519913344,TIC 184997417,Transit,13.570733,3.6e-05,-3.6e-05,0.111,,,,,,88.24,,,,,,,,,24.6
2MASS 20032735+4420151,d,-0.1,,-0.06,-0.15,-0.24,-0.09,-0.2,-0.12,-0.06,,-0.09,,-0.12,-0.35,,-0.11,-0.12,300.8639583,44.337553,163.029,-272.791,310.53,444.32,N/A,,12.98,,,,,5861.5,4.41,1.07,1.06,,,Gaia DR2 2082074942519913344,TIC 184997417,Transit,,,,,,,,,,,,,,,,0.121,0.006,-0.028,
2MASS 20032735+4420151,e,-0.1,,-0.06,-0.15,-0.24,-0.09,-0.2,-0.12,-0.06,,-0.09,,-0.12,-0.35,,-0.11,-0.12,300.8639583,44.337553,163.029,-272.791,310.53,444.32,N/A,,12.98,,,,,5861.5,4.41,1.07,1.06,,,Gaia DR2 2082074942519913344,TIC 184997417,Transit,43.84444353,9.688e-05,-9.688e-05,0.2388,,,,,,89.38,,,,,,,,,46.7
HIP 82632,b,0.2,,0.43,0.46,-0.42,0.13,-0.44,0.5,-0.71,,-1.04,,-0.61,-0.38,,-0.02,,253.3739003,-46.3329557,-17.363,-58.147,-63.576,87.89,thin,G6V,9.16,0.711,-38.6,-44.8,10.4,5817.0,4.38,1.04,1.18,,,Gaia DR2 5939949051801737472,TIC 246835467,Radial Velocity,2918.92,37.87,-39.28,4.187,0.051,-0.053,0.532,0.015,-0.016,,,,2.661,0.046,-0.046,,,,
