star_name,Fe,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,C_Mg,O_Mg,Si_Mg,Ca_Mg,Ti_Mg,Fe_Mg,C_Si,O_Si,Mg_Si,Ca_Si,Ti_Si,Fe_Si,C_O,Si_O,Mg_O,Ca_O,Ti_O,Fe_O,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6
Gaia DR3 2078083436127470080,0.04,0.03,0.08,-0.21,0.01,-0.12,0.04,0.11,,0.03,-0.09,0.03,-0.17,,0.0,0.23,7.413102413009177,18.197008586099862,1.0471285480509005,0.0741310241300917,0.0025703957827688,0.8912509381337459,7.079457843841373,17.378008287493763,0.954992586021435,0.0707945784384137,0.002454708915685,0.8511380382023759,0.4073802778041122,0.0575439937337156,0.0549540873857623,0.0040738027780411,0.0001412537544622,0.0489778819368445,0.9801366907476232,0.9845783400837892,0.912826828612279,0.9165179203853236,0.9978556011975214,0.9999442927970588,0.9998365456650548
Gaia DR3 2078996825361036160,-0.08,-0.14,-0.01,-0.29,-0.14,-0.28,-0.13,-0.01,,-0.03,-0.12,-0.08,-0.4,,-0.14,0.0,7.0794578438413724,20.892961308540407,1.0,0.079432823472428,0.0031622776601683,0.9549925860214348,7.0794578438413724,20.892961308540407,1.0,0.079432823472428,0.0031622776601683,0.9549925860214348,0.338844156139202,0.0478630092322638,0.0478630092322638,0.0038018939632056,0.0001513561248436,0.0457088189614874,0.9897641299510458,0.9889569697813676,0.9902933227682424,0.9905015736198928,0.9657283593304298,0.998398038642094,0.9988294064001524
Gaia DR3 2079100557410633472,-0.08,-0.07,-0.08,-0.22,-0.1,-0.32,-0.07,-0.01,,-0.09,0.01,-0.05,-0.32,,-0.12,0.13,7.585775750291837,16.218100973589298,1.0471285480508985,0.0724435960074989,0.0025118864315095,0.8709635899560796,7.244359600749907,15.488166189124827,0.9549925860214368,0.0691830970918936,0.0023988329190194,0.8317637711026709,0.4677351412871981,0.0645654229034655,0.0616595001861482,0.0044668359215096,0.0001548816618912,0.0537031796370252,0.9837337232783232,0.983787325396604,0.966771994955578,0.9632628176043556,0.9827691708619588,0.9994986561198768,0.9993876051277863
Gaia DR3 2079320872050034688,-0.01,-0.05,-0.11,-0.28,-0.12,-0.2,-0.09,0.02,,-0.09,-0.03,-0.0,-0.18,,-0.11,-0.03,8.317637711026709,15.848931924611176,1.0471285480509007,0.0812830516164097,0.0026302679918953,1.071519305237607,7.943282347242805,15.135612484362104,0.9549925860214348,0.0776247116628689,0.0025118864315095,1.0232929922807537,0.5248074602497712,0.0660693448007595,0.0630957344480191,0.0051286138399136,0.0001659586907437,0.067608297539198,0.9825404118457876,0.9860523385300668,0.994735054347826,0.9951582076874071,0.9423641958976788,0.923891711322987,0.985030347568112
Gaia DR3 2079403880876910464,0.01,-0.01,-0.02,-0.14,0.0,-0.03,0.01,0.03,,0.02,-0.04,-0.01,-0.1,,0.04,-0.06,6.918309709189376,14.791083881682102,1.0,0.0630957344480193,0.0025703957827688,0.851138038202376,6.918309709189376,14.791083881682102,1.0,0.0630957344480193,0.0025703957827688,0.851138038202376,0.4677351412871981,0.067608297539198,0.067608297539198,0.0042657951880159,0.0001737800828749,0.0575439937337155,0.9836902823585076,0.9792145233819208,0.9205298951544348,0.9285360223201008,0.9901006641326594,0.9997914030232656,0.9979721269530186
Gaia DR3 2079613685738988800,-0.12,-0.08,-0.04,-0.29,-0.15,-0.3,-0.14,-0.07,,-0.08,-0.13,-0.13,-0.4,,-0.14,-0.11,8.317637711026725,19.95262314968887,1.000000000000002,0.0707945784384137,0.0028840315031266,0.8912509381337459,8.317637711026709,19.95262314968883,0.999999999999998,0.0707945784384136,0.0028840315031266,0.8912509381337441,0.4168693834703346,0.0501187233627271,0.050118723362727,0.0035481338923357,0.0001445439770745,0.0446683592150961,0.9810597112404986,0.9858315935977732,0.9896547814749732,0.9891635384942276,0.9955431134138358,0.9936461591936044,0.999604818489044
Gaia DR3 2079695496278608896,-0.04,-0.01,-0.08,-0.27,-0.06,-0.35,-0.09,-0.01,,-0.07,-0.12,-0.02,-0.32,,-0.11,0.1,7.943282347242821,14.791083881682072,0.9120108393559097,0.0660693448007595,0.0023988329190194,0.8709635899560796,8.709635899560814,16.218100973589298,1.096478196143185,0.0724435960074989,0.0026302679918953,0.9549925860214348,0.5370317963702532,0.0616595001861482,0.0676082975391981,0.0044668359215096,0.0001621810097358,0.0588843655355588,0.9472540029822044,0.9756926075455936,0.9708154142145768,0.9727674849140064,0.9255117671633476,0.9890635870321414,0.9983777962566628
Gaia DR3 2080025349764145536,0.15,0.02,-0.06,-0.05,0.04,-0.02,0.08,0.14,,0.09,0.12,0.15,0.03,,0.11,0.19,6.760829753919819,12.302687708123813,1.071519305237607,0.0741310241300916,0.0027542287033381,1.071519305237607,6.30957344480193,11.481536214968818,0.9332543007969905,0.0691830970918934,0.0025703957827688,1.0,0.5495408738576248,0.0870963589956081,0.0812830516164099,0.0060255958607435,0.0002238721138568,0.0870963589956081,0.9903537873930136,0.990503641199159,0.997977025803531,0.9973636093039078,0.983617946615904,0.9293980193612996,0.993831447363046
Gaia DR3 2080386917291928832,0.01,-0.08,0.07,-0.19,-0.08,-0.13,-0.05,0.03,,0.02,0.0,0.02,-0.3,,-0.12,0.06,7.079457843841388,21.87761623949557,1.0471285480509007,0.0758577575029183,0.0030902954325135,1.0232929922807537,6.760829753919818,20.89296130854041,0.9549925860214348,0.0724435960074989,0.0029512092266663,0.9772372209558092,0.323593656929628,0.0478630092322637,0.0457088189614874,0.0034673685045253,0.0001412537544622,0.0467735141287197,0.9689067201604814,0.980476256788748,0.945094649739288,0.9563584306610728,0.9714397114728532,0.994528672263292,0.9970706052265852
Gaia DR3 2080505900764913792,-0.04,-0.08,-0.09,-0.28,-0.1,-0.22,-0.09,-0.01,,-0.06,-0.02,-0.03,-0.23,,-0.13,0.06,7.413102413009176,15.848931924611142,1.0,0.0724435960074989,0.0026915348039269,0.9549925860214348,7.413102413009176,15.848931924611142,1.0,0.0724435960074989,0.0026915348039269,0.9549925860214348,0.467735141287198,0.0630957344480193,0.0630957344480193,0.0045708818961487,0.0001698243652461,0.0602559586074356,0.9714659540114692,0.9796781327806602,0.9649117838633854,0.9632250941313024,0.9894921434635564,0.9951004955180668,0.999713947121082
