hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"WASP-126","b","Gaia DR2 4666498154837086208","TIC 25155310","Transit",3.28880000,0.00001000,-0.00001000,0.044900,0.000800,-0.000800,0.180000,,,87.900,1.500,-1.500,0.28000,0.04000,-0.04000,0.960,0.100,-0.050,7.634000
"WASP-126","b","Gaia DR2 4666498154837086208","TIC 25155310","Transit",3.28878703,0.00000044,-0.00000044,,,,,,,87.900,1.500,-1.500,,,,,,,7.630000
"WASP-114","b","Gaia DR2 2726339892542980864","TIC 466390120","Transit",1.54877430,0.00000120,-0.00000091,0.028510,0.000390,-0.000390,0.012000,0.022000,-0.009000,83.960,0.900,-0.900,1.76900,0.06400,-0.06400,1.339,0.064,-0.064,
"WASP-92","b","Gaia DR2 1424011082893734272","TIC 162689341","Transit",2.17467324,0.00000038,-0.00000038,,,,,,,83.800,0.700,-0.700,,,,,,,5.590000
"HAT-P-1","b","Gaia DR2 1928431764627661440","TIC 346338552","Transit",4.46529920,0.00000040,-0.00000040,,,,,,,,,,,,,,,,
"HAT-P-16","b","Gaia DR2 381592313648387200","TIC 191284318","Transit",2.77596748,0.00000021,-0.00000021,,,,0.036000,0.004000,-0.004000,86.600,0.700,-0.700,,,,,,,7.200000
"HAT-P-1","b","Gaia DR2 1928431764627661440","TIC 346338552","Transit",4.46529976,0.00000055,-0.00000055,0.055610,0.000820,-0.000830,,,,85.634,0.056,-0.056,0.52500,0.01900,-0.01900,1.319,0.019,-0.019,9.853000
"Kepler-468","b","Gaia DR2 2132666633603904256","TIC 299087490","Transit",38.47875707,0.00000485,-0.00000485,0.221300,,,0.000000,,,89.950,,,,,,,,,66.246500
"WASP-130","b","Gaia DR2 6112606840179716096","TIC 243200602","Transit",11.55097110,0.00000210,-0.00000210,,,,,,,88.660,0.120,-0.120,,,,,,,22.660000
"Kepler-26","c","Gaia DR2 2107317358665730688","TIC 164833065","Transit",17.25130000,,,0.107000,,,,,,,,,0.37500,,,0.321,,,
