HIP,Sampled,Predicted,Prob
95586,2856.0,2804.0,0.981792717087
13176,2872.0,2819.0,0.981545961003
28390,2863.0,2810.0,0.981487949703
90656,2870.0,2815.0,0.980836236934
34879,2858.0,2803.0,0.980755773268
19633,2858.0,2803.0,0.980755773268
42123,2880.0,2824.0,0.980555555556
115861,2877.0,2821.0,0.980535279805
83906,2864.0,2807.0,0.980097765363
35209,2858.0,2800.0,0.979706088174
63033,2881.0,2822.0,0.979520999653
117880,2878.0,2819.0,0.979499652536
14194,2866.0,2807.0,0.979413817167
32103,2875.0,2815.0,0.979130434783
12110,2878.0,2817.0,0.978804725504
69972,2876.0,2814.0,0.978442280946
107001,2870.0,2808.0,0.978397212544
96229,2868.0,2805.0,0.978033472803
95447,2858.0,2795.0,0.977956613016
4310,2875.0,2811.0,0.977739130435
20184,2840.0,2776.0,0.977464788732
65356,2863.0,2797.0,0.976947258121
544,2859.0,2793.0,0.976915005247
20899,2858.0,2792.0,0.976906927922
117288,2870.0,2803.0,0.976655052265
726,2865.0,2798.0,0.976614310646
62145,2890.0,2822.0,0.976470588235
7918,2878.0,2810.0,0.97637248089
76804,2870.0,2802.0,0.976306620209
70459,2881.0,2812.0,0.976049982645
5176,2866.0,2797.0,0.975924633636
42172,2870.0,2800.0,0.975609756098
37309,2851.0,2781.0,0.975447211505
115951,2862.0,2791.0,0.975192173305
108065,2889.0,2817.0,0.97507788162
6197,2887.0,2815.0,0.975060616557
117902,2866.0,2794.0,0.974877878576
105066,2846.0,2774.0,0.974701335207
84551,2872.0,2799.0,0.974582172702
58558,2865.0,2792.0,0.974520069808
10723,2861.0,2788.0,0.974484445998
17515,2863.0,2788.0,0.97380370241
42074,2854.0,2779.0,0.973721093203
101345,2883.0,2806.0,0.973291710024
6682,2880.0,2800.0,0.972222222222
109381,2868.0,2787.0,0.971757322176
26779,2863.0,2782.0,0.971707998603
22919,2889.0,2807.0,0.971616476289
96895,2863.0,2781.0,0.971358714635
42430,2884.0,2800.0,0.970873786408
44915,2882.0,2798.0,0.970853573907
305,2853.0,2768.0,0.97020679986
4801,2865.0,2777.0,0.969284467714
41134,2875.0,2785.0,0.968695652174
2292,2884.0,2793.0,0.968446601942
16870,2867.0,2776.0,0.968259504709
9911,2864.0,2773.0,0.968226256983
57735,2859.0,2766.0,0.967471143757
17253,2850.0,2757.0,0.967368421053
23926,2895.0,2800.0,0.967184801382
85017,2865.0,2770.0,0.966841186736
6653,2864.0,2769.0,0.966829608939
74273,2888.0,2792.0,0.96675900277
96854,2854.0,2759.0,0.966713384723
20998,2877.0,2781.0,0.966631908238
99729,2874.0,2778.0,0.966597077244
21414,2878.0,2781.0,0.966296038916
80399,2878.0,2781.0,0.966296038916
37520,2861.0,2764.0,0.96609577071
101936,2858.0,2761.0,0.966060181945
95926,2866.0,2768.0,0.965806001396
81952,2870.0,2770.0,0.965156794425
57090,2861.0,2761.0,0.965047186298
76713,2861.0,2761.0,0.965047186298
24331,2858.0,2758.0,0.965010496851
12411,2872.0,2771.0,0.964832869081
42333,2871.0,2769.0,0.9644723093
68184,2881.0,2774.0,0.962860118015
29349,2853.0,2747.0,0.962846126884
62886,2856.0,2749.0,0.962535014006
115953,2873.0,2764.0,0.962060563871
33690,2867.0,2755.0,0.960934775026
98920,2888.0,2775.0,0.960872576177
48680,2881.0,2767.0,0.960430406109
31655,2875.0,2761.0,0.960347826087
100396,2848.0,2735.0,0.960323033708
104045,2867.0,2752.0,0.959888385072
109612,2864.0,2748.0,0.959497206704
873,2850.0,2734.0,0.959298245614
62127,2867.0,2749.0,0.958841995117
15323,2866.0,2748.0,0.958827634334
52676,2847.0,2727.0,0.957850368809
101101,2866.0,2745.0,0.957780879274
6390,2863.0,2742.0,0.957736639888
93195,2863.0,2741.0,0.95738735592
18828,2885.0,2762.0,0.957365684575
104071,2884.0,2761.0,0.957350901526
69564,2879.0,2755.0,0.956929489406
55174,2864.0,2740.0,0.956703910615
36210,2863.0,2739.0,0.956688787985
50534,2879.0,2754.0,0.956582146579
59532,2856.0,2731.0,0.956232492997
43726,2874.0,2748.0,0.956158663883
14632,2876.0,2749.0,0.955841446453
25670,2871.0,2744.0,0.955764541971
97779,2869.0,2742.0,0.955733705124
17378,2864.0,2737.0,0.955656424581
19786,2871.0,2743.0,0.955416231278
64150,2886.0,2757.0,0.955301455301
38908,2853.0,2724.0,0.954784437434
25421,2853.0,2723.0,0.954433929197
69612,2860.0,2728.0,0.953846153846
84491,2864.0,2729.0,0.952863128492
44821,2877.0,2741.0,0.95272853667
75535,2874.0,2738.0,0.952679192763
15457,2873.0,2736.0,0.952314653672
90365,2851.0,2714.0,0.951946685374
40283,2848.0,2711.0,0.951896067416
81767,2862.0,2724.0,0.95178197065
81819,2839.0,2702.0,0.95174357168
86742,2884.0,2742.0,0.950762829404
55427,2863.0,2721.0,0.950401676563
88724,2869.0,2726.0,0.950156849076
7585,2869.0,2726.0,0.950156849076
110996,2865.0,2720.0,0.949389179756
116852,2887.0,2740.0,0.949082092137
48113,2868.0,2720.0,0.94839609484
115381,2873.0,2724.0,0.948137835016
92233,2879.0,2729.0,0.947898575894
71395,2868.0,2718.0,0.94769874477
88972,2883.0,2730.0,0.946930280957
106081,2869.0,2716.0,0.946671314047
23835,2883.0,2729.0,0.946583420049
100269,2880.0,2724.0,0.945833333333
25993,2862.0,2705.0,0.945143256464
24210,2867.0,2709.0,0.944890129055
85810,2876.0,2717.0,0.94471488178
15526,2857.0,2699.0,0.944697234862
29761,2855.0,2696.0,0.944308231173
109012,2852.0,2693.0,0.944249649369
89592,2868.0,2708.0,0.944211994421
102580,2879.0,2718.0,0.944077804793
60074,2870.0,2708.0,0.943554006969
42808,2876.0,2713.0,0.943324061196
24162,2866.0,2703.0,0.943126308444
36906,2866.0,2701.0,0.942428471738
103250,2875.0,2709.0,0.942260869565
95865,2875.0,2709.0,0.942260869565
61173,2873.0,2707.0,0.942220675252
94076,2865.0,2699.0,0.942059336824
99727,2885.0,2716.0,0.941421143847
60591,2867.0,2699.0,0.941402162539
74432,2872.0,2703.0,0.941155988858
81300,2868.0,2699.0,0.941073919107
91332,2850.0,2682.0,0.941052631579
4151,2859.0,2690.0,0.940888422525
21253,2837.0,2669.0,0.940782516743
68468,2863.0,2691.0,0.939923157527
100500,2867.0,2692.0,0.938960585978
20949,2863.0,2688.0,0.938875305623
34250,2862.0,2687.0,0.938853948288
30104,2861.0,2686.0,0.938832576022
30476,2870.0,2693.0,0.938327526132
90112,2878.0,2698.0,0.93745656706
23627,2886.0,2705.0,0.937283437283
72742,2869.0,2688.0,0.936911815964
42173,2867.0,2685.0,0.936519009418
19925,2884.0,2700.0,0.936199722607
7599,2861.0,2677.0,0.935686822789
7607,2882.0,2696.0,0.93546148508
93966,2858.0,2672.0,0.934919524143
60353,2860.0,2673.0,0.934615384615
99171,2858.0,2668.0,0.933519944017
19983,2864.0,2673.0,0.933310055866
102018,2866.0,2674.0,0.933007676204
91582,2851.0,2660.0,0.93300596282
36512,2856.0,2663.0,0.932422969188
30480,2869.0,2675.0,0.932380620425
101911,2869.0,2674.0,0.932032066922
16727,2868.0,2672.0,0.931659693166
18538,2861.0,2665.0,0.931492485145
87234,2861.0,2663.0,0.930793428871
42532,2896.0,2695.0,0.930593922652
32480,2867.0,2667.0,0.93024066969
93858,2851.0,2650.0,0.929498421606
81062,2877.0,2674.0,0.929440389294
36249,2846.0,2645.0,0.929374560787
8548,2868.0,2660.0,0.927475592748
108416,2854.0,2647.0,0.927470217239
4393,2855.0,2645.0,0.926444833625
11866,2876.0,2664.0,0.92628650904
70873,2858.0,2647.0,0.926172148355
101848,2878.0,2663.0,0.925295343989
104239,2882.0,2666.0,0.925052047189
27075,2866.0,2651.0,0.924982554082
18106,2887.0,2670.0,0.924835469345
29788,2861.0,2645.0,0.924501922405
51581,2872.0,2650.0,0.922701949861
19036,2880.0,2656.0,0.922222222222
27244,2892.0,2667.0,0.922199170124
39102,2865.0,2642.0,0.922164048866
3236,2859.0,2636.0,0.922000699545
95164,2864.0,2640.0,0.921787709497
69090,2881.0,2653.0,0.920860812218
88836,2864.0,2637.0,0.920740223464
59572,2886.0,2655.0,0.919958419958
114796,2895.0,2663.0,0.919861830743
117320,2866.0,2636.0,0.919748778786
36129,2863.0,2629.0,0.918267551519
55459,2862.0,2626.0,0.917540181691
68573,2881.0,2642.0,0.917042693509
95822,2843.0,2606.0,0.916637354907
22907,2862.0,2619.0,0.915094339623
80910,2868.0,2616.0,0.912133891213
59448,2853.0,2602.0,0.912022432527
48468,2861.0,2607.0,0.911219853198
53087,2893.0,2633.0,0.910127894919
21172,2853.0,2596.0,0.909919383106
87691,2872.0,2613.0,0.909818941504
24813,2865.0,2606.0,0.909598603839
50653,2872.0,2612.0,0.909470752089
106213,2851.0,2590.0,0.908453174325
26935,2869.0,2606.0,0.908330428721
55412,2884.0,2619.0,0.908113730929
57757,2884.0,2619.0,0.908113730929
45333,2852.0,2586.0,0.906732117812
40072,2875.0,2606.0,0.906434782609
56278,2873.0,2603.0,0.90602158023
86036,2883.0,2612.0,0.906000693722
52667,2851.0,2581.0,0.905296387233
72190,2847.0,2577.0,0.905163329821
4148,2879.0,2605.0,0.9048280653
113779,2875.0,2600.0,0.904347826087
77257,2871.0,2596.0,0.904214559387
8798,2860.0,2585.0,0.903846153846
79672,2890.0,2612.0,0.903806228374
57148,2857.0,2582.0,0.903745187259
52990,2853.0,2577.0,0.903259726604
52686,2863.0,2586.0,0.903248340901
42010,2859.0,2581.0,0.902763203917
33072,2867.0,2587.0,0.902336937565
37349,2862.0,2582.0,0.902166317261
25918,2823.0,2546.0,0.901877435352
17351,2882.0,2599.0,0.901804302568
19849,2886.0,2602.0,0.901593901594
101274,2875.0,2591.0,0.901217391304
72848,2874.0,2589.0,0.900835073069
41844,2865.0,2580.0,0.900523560209
