HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
104520,42.17354569,11.99715247,64.88210176,0, None,0,0,0,-0.36,-0.8,-0.15,-0.02,-0.34,-0.26,-0.44,-0.19,-0.23,nan,-0.32,-0.33,nan,-0.69,-0.3,-0.37,nan
104549,12.15380843,4.690939778,50.87962606,0, None,0,0,0,-0.03,-1.35,0.12,0.1,0,0.02,-0.09,-0.02,0.03,0.17,0.05,-0.07,-0.01,-0.13,0.05,-0.01,0.01
104557,95.42980327,39.72262088,-7.335485947,0, None,0,0,0,0.2,-3.2,0.08,0.15,0.26,0.33,0.36,0.36,0.15,0.16,0.18,0.16,0.22,0.28,0.36,0.24,0.01
104560,-11.37801695,-4.808914756,-57.26518922,0, None,0,0,0,-0.47,nan,nan,-0.33,-0.51,-0.24,-0.38,-0.45,-0.41,-0.3,-0.41,-0.51,-0.54,-0.59,-0.34,-0.53,-0.63
104587,-2.576343867,-1.391448559,30.26305567,0, None,0,0,0,0.04,nan,0,-0.05,-0.13,0.03,0,0.02,0.04,nan,0.02,0.07,0.03,-0.09,nan,0.04,-0.03
104672,19.11681566,17.11801972,-68.67628074,0, None,0,0,0,0,nan,nan,-0.1,-0.07,0.13,-0.03,-0.06,0.02,0.03,-0.04,0.18,-0.09,-0.38,nan,-0.09,-0.12
104687,26.25644557,26.66632229,-32.03374304,0, None,0,0,0,0.19,nan,-0.06,0.3,-0.04,0.07,0.04,0.11,0.15,nan,0.18,0.16,0.21,nan,0.06,0.16,nan
104732,-9.735184809,-13.1420656,-40.71694548,0, None,0,0,0,0.06,-2.7,-0.05,-0.08,0.3,0.21,0.21,0.23,0.16,-0.04,0.01,-0.09,0.1,-0.08,0.01,0.06,0.32
104733,-13.06136135,-17.85971267,-15.3553136,0, None,0,0,0,-0.16,-1.38,nan,-0.1,-0.37,-0.09,-0.24,-0.18,-0.16,nan,-0.13,nan,nan,-0.36,nan,-0.26,-0.23
104752,-16.8468268,-27.93033615,107.2576336,0, None,0,0,0,0,-2.79,-0.29,-0.14,0.16,0.08,0.08,0.09,0.08,0.01,0.01,0.02,0.01,0.04,0.02,-0.02,0
104766,31.7990003,57.01484729,40.46141145,0, None,0,0,0,-0.15,nan,nan,-0.2,-0.23,-0.01,-0.13,-0.16,-0.08,-0.07,-0.17,nan,-0.24,-0.32,nan,-0.26,-0.22
104768,-31.93284796,-57.61020242,33.52641898,0, None,0,0,0,0.22,nan,0.24,0.41,0.31,0.22,0.12,0.22,0.19,nan,0.2,0.28,0.22,nan,0.24,0.26,nan
104788,0.028674413,0.060166785,42.75326143,0, None,0,0,0,0.04,nan,nan,nan,0.09,0.17,0.12,0.05,0.15,0.29,0.08,-0.02,0.06,-0.06,0.12,0.01,0.17
104809,1.916365459,5.018086432,29.23716998,0, None,0,0,0,0.16,nan,0.13,0.02,0.03,0.05,-0.02,0.09,0.14,nan,0.12,0.14,0.12,0,nan,0.1,0.11
104914,-0.691802576,-7.332098551,110.8667703,0, None,0,0,0,0.04,-1.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
104922,5.868207463,80.38763394,2.652261324,0, None,0,0,0,0.09,nan,-0.05,0.09,0.05,0.13,0.05,0.05,0.08,0.25,0.12,0.01,0.13,0,0.13,0.07,0.14
